rank	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	0.056142513417899165	-122.26822221533787	C9H16O	[M - H]-	BAUZLFKYYIVGPM	InChI=1S/C9H16O/c10-9-7-5-3-1-2-4-6-8-9/h1-8H2	Cyclononanone	C1CCCCC(=O)CCC1	2.5999999	76877	NORMAN:(NS00047813);COCONUT:(CNP0106072);Natural Products:(UNPD228605);PubChem:(76877);PubChem class - safety and toxic;PubMed	69500994
2	1	N/A	-122.57370700268334	C9H16O	[M - H]-	PNIPUMJATZZPSD	InChI=1S/C9H16O/c1-7(2)3-4-8-5-9(10)6-8/h7-8H,3-6H2,1-2H3	null	CC(C)CCC1CC(=O)C1	2.4000001	67500687	PubChem:(67500687)	2
3	1	N/A	-124.03839879801501	C9H16O	[M - H]-	IQSXQSIYYPWANK	InChI=1S/C9H16O/c1-2-3-4-5-8-6-9(10)7-8/h8H,2-7H2,1H3	Cyclobutanone, 3-pentyl-	CCCCCC1CC(=O)C1	2.5999999	11815454	PubChem:(11815454)	2
4	1	N/A	-124.58550262929519	C9H16O	[M - H]-	UHBZEAPZATVYKV	InChI=1S/C9H16O/c1-8(10)7-9-5-3-2-4-6-9/h9H,2-7H2,1H3	ACMC-20alcn	CC(=O)CC1CCCCC1	2.5999999	66899	NORMAN:(NS00023261);PubChem:(66899);PubMed	262210
5	1	N/A	-124.86671065018791	C9H16O	[M - H]-	AFXLHBISHRESRZ	InChI=1S/C9H16O/c1-8(10)4-2-3-5-9-6-7-9/h9H,2-7H2,1H3	null	CC(=O)CCCCC1CC1	2.42216825	126971667	PubChem:(126971667)	2
6	1	N/A	-129.1747164453149	C9H16O	[M - H]-	DPWOVUKVSOUSLF	InChI=1S/C9H16O/c1-8(10)4-2-5-9-6-3-7-9/h9H,2-7H2,1H3	null	CC(=O)CCCC1CCC1	2.4000001	116927814	PubChem:(116927814)	2
7	1	N/A	-132.92504815480484	C9H16O	[M - H]-	MQJOGDCXPIMBDM	InChI=1S/C9H16O/c10-8-3-1-2-5-9-6-4-7-9/h8-9H,1-7H2	null	C1CC(C1)CCCCC=O	2.79999995	85680922	PubChem:(85680922)	2
8	1	N/A	-134.57815175937387	C9H16O	[M - H]-	RKFNAZGRJVNWEW	InChI=1S/C9H16O/c10-8-4-7-9-5-2-1-3-6-9/h8-9H,1-7H2	Cyclohexanepropanal	C1CCC(CC1)CCC=O	2.79999995	78070;53707644	NORMAN:(NS00031354);COCONUT:(CNP0417148);Natural Products:(UNPD37975);PubChem:(78070 53707644);ZINC bio:(ZINC01571239);PubChem class - safety and toxic	69509122
9	1	N/A	-135.1328940237748	C9H16O	[M - H]-	FMZCVQLLKZFZJE	InChI=1S/C9H16O/c1-2-3-7-9(10)8-5-4-6-8/h8H,2-7H2,1H3	null	CCCCC(=O)C1CCC1	2.29999995	64982097	PubChem:(64982097)	2
10	1	N/A	-135.145953011508	C9H16O	[M - H]-	WYRZZKRSPDZZIG	InChI=1S/C9H16O/c1-2-3-4-9(10)7-8-5-6-8/h8H,2-7H2,1H3	null	CCCCC(=O)CC1CC1	2.4000001	79404464	PubChem:(79404464)	2
11	1	N/A	-136.9294739378958	C9H16O	[M - H]-	YRLAELHRQPTDAX	InChI=1S/C9H16O/c1-8(10)6-7-9-4-2-3-5-9/h9H,2-7H2,1H3	4-cyclopentylbutan-2-one	CC(=O)CCC1CCCC1	2.42216825	12427701	PubChem:(12427701)	2
12	1	N/A	-137.0951692583603	C9H16O	[M - H]-	LWQFWQVTDYHMAD	InChI=1S/C9H16O/c1-7(2)5-9(10)6-8-3-4-8/h7-8H,3-6H2,1-2H3	null	CC(C)CC(=O)CC1CC1	2.29999995	58170179	PubChem:(58170179)	2
13	1	N/A	-137.38681443529595	C9H16O	[M - H]-	NGWXCTRIHCYCNW	InChI=1S/C9H16O/c10-8-4-3-7-9-5-1-2-6-9/h8-9H,1-7H2	Cyclopentanebutanal	C1CCC(C1)CCCC=O	2.79999995	21932056	PubChem:(21932056)	2
14	1	N/A	-138.75325100251953	C9H16O	[M - H]-	OIFXLYCBBBXCIB	InChI=1S/C9H16O/c1-3-4-5-6-7-8-9(2)10/h3H,1,4-8H2,2H3	8-Nonen-2-one	CC(=O)CCCCCC=C	2.5932796	21108;10351822	COCONUT:(CNP0160913);HMDB:(35926);Natural Products:(UNPD171550);PubChem class - food;PubChem:(21108 10351822);SuperNatural:(SN00156593);ZINC bio:(ZINC02037477);PubChem class - bio and metabolites	154181642
15	1	N/A	-138.96953713707387	C9H16O	[M - H]-	NVQFGBQTFRMMLL	InChI=1S/C9H16O/c1-2-3-4-5-8-6-7-9(8)10/h8H,2-7H2,1H3	null	CCCCCC1CCC1=O	2.5999999	12585756	PubChem:(12585756)	2
16	1	N/A	-140.54315700431167	C9H16O	[M - H]-	PNSHZSUPEWYGEX	InChI=1S/C9H16O/c1-3-5-7-9(10)8-6-4-2/h3H,1,4-8H2,2H3	1-Nonen-5-one	CCCCC(=O)CCC=C	2.4000001	13193459	PubChem:(13193459)	2
17	1	N/A	-141.6117533192572	C9H16O	[M - H]-	AMHOPTNGSNYSBL	InChI=1S/C9H16O/c1-2-9(10)8-6-4-3-5-7-8/h8H,2-7H2,1H3	Cyclohexylethylketone	CCC(=O)C1CCCCC1	2.5	70748	PubChem:(70748);NORMAN:(NS00023632)	262146
