rank	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	0.1163805397266721	-29.45001116002272	C9H17NO3	[M - H]-	GUAHPAJOXVYFON	InChI=1S/C9H17NO3/c1-7(10)8(11)5-3-2-4-6-9(12)13/h7H,2-6,10H2,1H3,(H,12,13)	8-amino-7-oxononanoate	CC(C(=O)CCCCCC(=O)O)N	-2.20000005	173;448124;5460197;25244029;36688192;36688194;101264144	SuperNatural:(SN00243290);ZINC bio:(ZINC01532843 ZINC01532844);additional;MeSH:(173 448124);Plantcyc:(8-AMINO-7-OXONONANOATE);PubMed;COCONUT:(CNP0316712);KNApSAcK:(758);Natural Products:(UNPD76434);PubChem:(173 448124 5460197 25244029 36688192 36688194 101264144);CHEBI:(15830 57532 12266);PubChem class - bio and metabolites;KEGG:(C01092);YMDB:(905);Training Set;Biocyc:(CPD1A0-6176 8-AMINO-7-OXONONANOATE SMA-0000150)	20703606
2	1	N/A	-39.5158453412008	C9H17NO3	[M - H]-	BQXIMOMNVYVSCK	InChI=1S/C9H17NO3/c1-7(11)8(10)5-3-2-4-6-9(12)13/h8H,2-6,10H2,1H3,(H,12,13)	null	CC(=O)C(CCCCCC(=O)O)N	-2.0999999	53696501;100975368	EcoCyc Mine;PubChem:(53696501 100975368);YMDB Mine;KEGG Mine	60129542146
3	1	N/A	-41.96303597760564	C9H17NO3	[M - H]-	AUHDNYDRXUNBSA	InChI=1S/C9H17NO3/c1-2-7(11)5-3-4-6-8(10)9(12)13/h8H,2-6,10H2,1H3,(H,12,13)	null	CCC(=O)CCCCC(C(=O)O)N	-2.20000005	87534403	PubChem:(87534403)	2
4	1	N/A	-43.09671721877782	C9H17NO3	[M - H]-	JPTXVWCBMWCZEP	InChI=1S/C9H17NO3/c1-7(11)5-3-2-4-6-8(10)9(12)13/h8H,2-6,10H2,1H3,(H,12,13)	null	CC(=O)CCCCCC(C(=O)O)N	0.368984878	87782803;88898041	PubChem:(87782803 88898041)	2
5	1	N/A	-49.142625333767626	C9H17NO3	[M - H]-	VBZVQWDDUOUQHA	InChI=1S/C9H17NO3/c10-7-8(11)5-3-1-2-4-6-9(12)13/h1-7,10H2,(H,12,13)	9-amino-8-oxononanoic acid	C(CCCC(=O)O)CCC(=O)CN	-2.0	13199449	COCONUT:(CNP0327835);Natural Products:(UNPD76707);PubChem:(13199449)	2129922
6	1	N/A	-52.26333919582923	C9H17NO3	[M - H]-	WNVYULRVKNBPKV	InChI=1S/C9H17NO3/c1-7(10)5-3-2-4-6-8(11)9(12)13/h7H,2-6,10H2,1H3,(H,12,13)	8-amino-2-oxononanoic acid	CC(CCCCCC(=O)C(=O)O)N	-1.60000002	22290177	PubChem:(22290177)	2
7	1	N/A	-52.56983694769886	C9H17NO3	[M - H]-	JTDLUOCDUOMYDM	InChI=1S/C9H17NO3/c10-7-3-5-8(11)4-1-2-6-9(12)13/h1-7,10H2,(H,12,13)	null	C(CCC(=O)O)CC(=O)CCCN	-2.79999995	96625884	PubChem:(96625884)	2
8	1	N/A	-64.22422478969507	C9H17NO3	[M - H]-	AWGBUZUCLJMVFY	InChI=1S/C9H17NO3/c1-2-3-4-5-8(11)7(10)6-9(12)13/h7H,2-6,10H2,1H3,(H,12,13)	null	CCCCCC(=O)C(CC(=O)O)N	-1.79999995	57155259;89340848	PubChem:(57155259 89340848)	2
9	1	N/A	-72.24337586696736	C9H17NO3	[M - H]-	DJKLLZJDRPGBPJ	InChI=1S/C9H17NO3/c10-8(11)6-4-2-1-3-5-7-9(12)13/h1-7H2,(H2,10,11)(H,12,13)	Azelaamic acid	C(CCCC(=O)N)CCCC(=O)O	1.23524308	258338	EcoCyc Mine;PubChem:(258338);ZINC bio:(ZINC01561691);KEGG Mine	25769811970
10	1	N/A	-72.4499655313921	C9H17NO3	[M - H]-	LSWPEQUBPCYRNZ	InChI=1S/C9H17NO3/c1-2-3-4-5-7(11)6-8(10)9(12)13/h8H,2-6,10H2,1H3,(H,12,13)	null	CCCCCC(=O)CC(C(=O)O)N	-1.79999995	87173809;89334110	PubChem:(87173809 89334110)	2
