rank	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	0.11646308751904078	-82.09840305424258	C12H23NO3	[M - H]-	ZYUIIFJKSLWWHG	InChI=1S/C12H23NO3/c13-10-6-2-4-8-11(14)7-3-1-5-9-12(15)16/h1-10,13H2,(H,15,16)	12-amino-7-oxododecanoic acid	C(CCC(=O)CCCCCN)CCC(=O)O	-1.60000002	4206597	PubChem:(4206597);PubChem class - safety and toxic	67108866
2	1	N/A	-93.19254309895476	C12H23NO3	[M - H]-	AWGHNUNJZFZCCH	InChI=1S/C12H23NO3/c13-11(9-10-14)7-5-3-1-2-4-6-8-12(15)16/h10-11H,1-9,13H2,(H,15,16)	null	C(CCCCC(=O)O)CCCC(CC=O)N	1.79483914	""	KEGG Mine	8589934592
3	1	N/A	-99.22497025138614	C12H23NO3	[M - H]-	RAFOGKOTRLOFKP	InChI=1S/C12H23NO3/c13-11(14)9-7-5-3-1-2-4-6-8-10-12(15)16/h1-10H2,(H2,13,14)(H,15,16)	null	C(CCCCCC(=O)O)CCCCC(=O)N	2.58288121	10889696	PubChem:(10889696);KEGG Mine	8589934594
4	1	N/A	-110.15709334573991	C12H23NO3	[M - H]-	YKXNKJITHFFUGY	InChI=1S/C12H23NO3/c1-2-3-4-8-11(14)10(13)7-5-6-9-12(15)16/h10H,2-9,13H2,1H3,(H,15,16)	6-amino-7-oxododecanoic acid	CCCCCC(=O)C(CCCCC(=O)O)N	-0.699999988	20975285	PubChem:(20975285)	2
5	1	N/A	-115.18992279357653	C12H23NO3	[M - H]-	NBQJPZTZTFFRGA	InChI=1S/C12H23NO3/c1-2-3-4-5-6-7-8-10(14)9-11(13)12(15)16/h11H,2-9,13H2,1H3,(H,15,16)	null	CCCCCCCCC(=O)CC(C(=O)O)N	-0.200000003	121007417	PubChem:(121007417)	2
6	1	N/A	-119.19831273148722	C12H23NO3	[M - H]-	PIPKKMHVIXESPQ	InChI=1S/C12H23NO3/c1-9(2)8-10(13)11(14)6-4-3-5-7-12(15)16/h9-10H,3-8,13H2,1-2H3,(H,15,16)	(8S)-8-amino-10-methyl-7-oxoundecanoic acid	CC(C)CC(C(=O)CCCCCC(=O)O)N	-0.800000012	11470229	PubChem:(11470229)	2
7	1	N/A	-123.90709374730176	C12H23NO3	[M - H]-	DSAZJFMZOCEUHI	InChI=1S/C12H23NO3/c13-11(12(14)15)8-3-1-2-6-10-7-4-5-9-16-10/h10-11H,1-9,13H2,(H,14,15)	null	C1CCOC(C1)CCCCCC(C(=O)O)N	-0.600000024	122626102	PubChem:(122626102)	2
8	1	N/A	-132.38429422083018	C12H23NO3	[M - H]-	HJZYOWWKZLHXPW	InChI=1S/C12H23NO3/c1-11(14)13-10-8-6-4-2-3-5-7-9-12(15)16/h2-10H2,1H3,(H,13,14)(H,15,16)	null	CC(=O)NCCCCCCCCCC(=O)O	2.29999995	121007270	PubChem:(121007270)	2
9	1	N/A	-133.17718277639324	C12H23NO3	[M - H]-	ZGWJLCBJYBBGKR	InChI=1S/C12H23NO3/c1-2-8-11(14)13-10-7-5-3-4-6-9-12(15)16/h2-10H2,1H3,(H,13,14)(H,15,16)	null	CCCC(=O)NCCCCCCCC(=O)O	2.0	115924020	PubChem:(115924020)	2
10	1	N/A	-136.8852539681528	C12H23NO3	[M - H]-	SQHXTMASGXNKBP	InChI=1S/C12H23NO3/c1-3-12(4-2,11(15)16)9-7-5-6-8-10(13)14/h3-9H2,1-2H3,(H2,13,14)(H,15,16)	null	CCC(CC)(CCCCCC(=O)N)C(=O)O	2.0	88310447	PubChem:(88310447)	2
11	1	N/A	-142.7350311763941	C12H23NO3	[M - H]-	IOUZXGAQFBQURX	InChI=1S/C12H23NO3/c1-2-10(9-11(13)14)7-5-3-4-6-8-12(15)16/h10H,2-9H2,1H3,(H2,13,14)(H,15,16)	null	CCC(CCCCCCC(=O)O)CC(=O)N	2.4000001	118073955	PubChem:(118073955)	2
12	1	N/A	-144.4520972781401	C12H23NO3	[M - H]-	ZQZAHAISYUWEFD	InChI=1S/C12H23NO3/c14-12(15)10-8-6-4-2-1-3-5-7-9-11-13-16/h11,16H,1-10H2,(H,14,15)	null	C(CCCCCC(=O)O)CCCCC=NO	3.2594986	11009746;85365440	PubChem:(11009746 85365440)	2
13	1	N/A	-148.28445456015962	C12H23NO3	[M - H]-	ICSCLHBROGSHPG	InChI=1S/C12H23NO3/c13-10(11(14)8-12(15)16)7-6-9-4-2-1-3-5-9/h9-11,14H,1-8,13H2,(H,15,16)	(3S,4S)-4-amino-6-cyclohexyl-3-hydroxyhexanoic acid	C1CCC(CC1)CCC(C(CC(=O)O)O)N	-0.600000024	18652113;18948478	PubChem:(18652113 18948478)	2
