rank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id
13	C8H10O6	[M - H]-	C8H10O6	163.36661407120283	160.26816134114253	3.098452730060309	40	0.9347748423806855	0.8473629657286841	2.7248929833622855	1.484336263740901		201.04076	64.34	30_LimoneneNegative_30
14	C9H12O7	[M - H]-	C9H12O7	162.59722651938057	159.4023966626327	3.1948298567478735	46	0.8413351787916366	2.3975345515083575	3.0992033256357208	0.9250246419677167		231.05124	106.33	92_LimoneneNegative_93
15	C10H16O6	[M - H]-	C10H16O6	160.99949114664003	157.54309722698108	3.4563939196589586	45	0.9486915790024599	1.6092951599310297	2.6454720656745203	-0.0077023211233888215		231.08741	93.7	74_LimoneneNegative_75
16	C8H12O7	[M - H]-	C8H12O7	160.4198005701173	157.26701086391859	3.1527897061987082	34	0.9740136097241859	1.3450310478673735	2.513803916235929	0.7474421414525358		219.05119	55.88	12_LimoneneNegative_12
17	C20H32O12	[M - H]-	C20H32O12	157.178910788734	153.51008823026646	3.6688225584675136	43	0.9799316376095182	2.7483575109808434	3.5121845353482253	0.25905158998985417		463.18222	231.97	217_LimoneneNegative_220
18	C19H30O9	[M - H]-	C19H30O9	157.16336676061633	153.29158532835982	3.8717814322565083	53	0.9120181397575864	1.9743418805660373	2.475493872884968	0.10945684985746315		401.18175	624.59	365_LimoneneNegative_368
19	C20H32O8	[M - H]-	C20H32O8	156.00136360502802	152.02086498917967	3.9804986158483464	46	0.9412432296200548	2.2306109871714237	2.8570485735243336	0.021212521434821146		399.20245	650.45	373_LimoneneNegative_376
20	C7H10O6	[M - H]-	C7H10O6	152.58267024023954	147.42568340118	5.156986839059523	34	0.9277508323551776	1.5502043058847388	2.9042009035703673	1.6314580741562008		189.04077	58.01	17_LimoneneNegative_17
21	C9H14O6	[M - H]-	C9H14O6	151.7230377247267	148.41385268124733	3.309185043479369	42	0.9505299040506774	1.3651987822790022	2.434911205975009	0.26850141375571585		217.07182	68.55	40_LimoneneNegative_40
22	C9H12O6	[M - H]-	C9H12O6	150.5442779799911	147.2393586655387	3.304919314452394	35	0.8426734964972465	1.5835506117502196	2.4477800047538687	0.4108139665023485		215.05620	157.13	139_LimoneneNegative_140
23	C20H32O8	[M - H]-	C20H32O8	150.4996332363903	146.72198108384129	3.7776521525490203	44	0.9610130126308422	1.2203143961703868	2.4225032492582113	-0.3545368087602006		399.20230	669.91	376_LimoneneNegative_379
24	C9H12O5	[M - H]-	C9H12O5	148.27054401174257	145.60763365964766	2.6629103520949133	37	0.9118916126777397	1.7379956235767022	2.9993634818805472	1.7229249334853924		199.06154	119.07	105_LimoneneNegative_106
