"id","foldernumber","Carcinogenicity_predicted","predform","predion","exactMass"
"LimoneneNegative","16","Inactive","C7H8O5","C7H8O5_[M-H]-",172.03717334
"LimoneneNegative","16","Inactive","C7H8O5","C7H8O5_[M-H2O-H]-",172.03717334
"LimoneneNegative","160","Inactive","C6H8O3","C6H8O3_[M-H]-",128.0473441
"LimoneneNegative","161","Inactive","C10H14O6","C10H14O6_[M-H2O-H]-",230.07903814
"LimoneneNegative","162","Inactive","C9H12O4","C9H12O4_[M-H2O-H]-",184.07355884
"LimoneneNegative","163","Active","C11H12N2O6","C11H12N2O6_[M-H]-",268.06953608
"LimoneneNegative","164","Active","C13H16O8","C13H16O8_[M-H]-",300.08451744
"LimoneneNegative","165","Inactive","C20H32O12","C20H32O12_[M-H]-",464.1893764
"LimoneneNegative","166","Inactive","C6H10O4","C6H10O4_[M-H]-",146.05790878
"LimoneneNegative","167","Inactive","C7H10O2","C7H10O2_[M-H2O-H]-",126.06807954
"LimoneneNegative","168","Inactive","C6H10O3","C6H10O3_[M-H]-",130.06299416
"LimoneneNegative","169","Inactive","C8H12O","C8H12O_[M-H2O-H]-",124.08881498
"LimoneneNegative","17","Inactive","C7H10O6","C7H10O6_[M-H]-",190.04773802
"LimoneneNegative","170","Inactive","C10H14O6","C10H14O6_[M-H2O-H]-",230.07903814
"LimoneneNegative","171","Inactive","C13H16O7","C13H16O7_[M-H]-",284.08960282
"LimoneneNegative","172","Inactive","C9H12O3","C9H12O3_[M-H]-",168.07864422
"LimoneneNegative","173","Inactive","C10H16O6","C10H16O6_[M-H]-",232.0946882
"LimoneneNegative","174","Inactive","C9H17N2O3S","C9H17N2O3S_[M-H]-",233.09598854
"LimoneneNegative","175","Inactive","C9H14O5","C9H14O5_[M-H]-",202.08412352
"LimoneneNegative","176","Inactive","C6H10O4","C6H10O4_[M-H]-",146.05790878
"LimoneneNegative","177","Inactive","C10H14O5","C10H14O5_[M-H]-",214.08412352
"LimoneneNegative","178","Inactive","C6H11N6O3","C6H11N6O3_[M-H]-",215.08926319
"LimoneneNegative","179","Inactive","C7H8O3","C7H8O3_[M-H]-",140.0473441
"LimoneneNegative","179","Inactive","C7H8O3","C7H8O3_[M-H2O-H]-",140.0473441
"LimoneneNegative","18","Inactive","C8H10O7","C8H10O7_[M-H]-",218.04265264
"LimoneneNegative","180","Inactive","C7H10O2","C7H10O2_[M-H]-",126.06807954
"LimoneneNegative","180","Inactive","C7H10O2","C7H10O2_[M-H2O-H]-",126.06807954
"LimoneneNegative","181","Inactive","C7H10O3","C7H10O3_[M-H]-",142.06299416
"LimoneneNegative","181","Inactive","C7H10O3","C7H10O3_[M-H2O-H]-",142.06299416
"LimoneneNegative","183","Inactive","C8H10O4","C8H10O4_[M-H]-",170.05790878
"LimoneneNegative","184","Inactive","C5H8O2","C5H8O2_[M-H]-",100.05242948
"LimoneneNegative","185","Inactive","C7H6O4","C7H6O4_[M-H]-",154.02660866
"LimoneneNegative","186","Inactive","C7H8O5","C7H8O5_[M-H]-",172.03717334
"LimoneneNegative","187","Inactive","C5H6O3","C5H6O3_[M-H]-",114.03169404
"LimoneneNegative","188","Inactive","C8H10O2","C8H10O2_[M-H]-",138.06807954
"LimoneneNegative","189","Inactive","C9H12O4","C9H12O4_[M-H]-",184.07355884
"LimoneneNegative","19","Inactive","C9H14O7","C9H14O7_[M-H]-",234.07395276
"LimoneneNegative","190","Inactive","C10H14O5","C10H14O5_[M-H2O-H]-",214.08412352
"LimoneneNegative","191","Inactive","C6H11N6O3","C6H11N6O3_[M-H]-",215.08926319
"LimoneneNegative","192","Inactive","C10H16O5","C10H16O5_[M-H]-",216.09977358
"LimoneneNegative","193","Inactive","C13H16O7","C13H16O7_[M-H]-",284.08960282
"LimoneneNegative","194","Inactive","C5H6O2","C5H6O2_[M-H2O-H]-",98.03677942
"LimoneneNegative","195","Inactive","C6H8O2","C6H8O2_[M-H]-",112.05242948
"LimoneneNegative","196","Inactive","C5H8O3","C5H8O3_[M-H]-",116.0473441
"LimoneneNegative","197","Inactive","C6H8O3","C6H8O3_[M-H]-",128.0473441
"LimoneneNegative","198","Inactive","C9H12O3","C9H12O3_[M-H2O-H]-",168.07864422
"LimoneneNegative","199","Inactive","C8H16O4","C8H16O4_[M-H]-",176.10485896
"LimoneneNegative","2","Inactive","C10H20O5","C10H20O5_[M-H]-",220.1310737
"LimoneneNegative","20","Inactive","C6H8O4","C6H8O4_[M-H]-",144.04225872
"LimoneneNegative","200","Inactive","C9H14O4","C9H14O4_[M-H]-",186.0892089
"LimoneneNegative","201","Inactive","C9H12O6","C9H12O6_[M-H]-",216.06338808
"LimoneneNegative","202","Inactive","C8H14O5","C8H14O5_[M-H]-",190.08412352
"LimoneneNegative","203","Inactive","C10H14O4","C10H14O4_[M-H2O-H]-",198.0892089
"LimoneneNegative","204","Inactive","C12H14O6","C12H14O6_[M-H]-",254.07903814
"LimoneneNegative","205","Inactive","C12H18O6","C12H18O6_[M-H]-",258.11033826
"LimoneneNegative","206","Inactive","C7H12O2","C7H12O2_[M-H]-",128.0837296
"LimoneneNegative","207","Inactive","C8H12O4","C8H12O4_[M-H]-",172.07355884
"LimoneneNegative","208","Inactive","C7H8O3","C7H8O3_[M-H2O-H]-",140.0473441
"LimoneneNegative","209","Active","C9H12O5","C9H12O5_[M-H]-",200.06847346
"LimoneneNegative","21","Inactive","C6H8O5","C6H8O5_[M-H]-",160.03717334
"LimoneneNegative","210","Inactive","C6H10O2","C6H10O2_[M-H]-",114.06807954
"LimoneneNegative","211","Inactive","C6H10O4","C6H10O4_[M-H]-",146.05790878
"LimoneneNegative","212","Inactive","C10H12O4","C10H12O4_[M-H2O-H]-",196.07355884
"LimoneneNegative","213","Active","C10H14O5","C10H14O5_[M-H]-",214.08412352
"LimoneneNegative","213","Inactive","C10H14O5","C10H14O5_[M-H2O-H]-",214.08412352
"LimoneneNegative","214","Inactive","C10H16O6","C10H16O6_[M-H]-",232.0946882
"LimoneneNegative","215","Active","C13H16O5","C13H16O5_[M-H]-",252.09977358
"LimoneneNegative","216","Inactive","C13H16O8","C13H16O8_[M-H]-",300.08451744
"LimoneneNegative","217","Inactive","C20H32O12","C20H32O12_[M-H]-",464.1893764
"LimoneneNegative","218","Inactive","C7H12O2","C7H12O2_[M-H]-",128.0837296
"LimoneneNegative","219","Inactive","C9H14O5","C9H14O5_[M-H]-",202.08412352
"LimoneneNegative","22","Inactive","C7H10O5","C7H10O5_[M-H]-",174.0528234
"LimoneneNegative","22","Inactive","C7H10O5","C7H10O5_[M-H2O-H]-",174.0528234
"LimoneneNegative","220","Inactive","C6H8O2","C6H8O2_[M-H2O-H]-",112.05242948
"LimoneneNegative","221","Inactive","C9H12O4","C9H12O4_[M-H2O-H]-",184.07355884
"LimoneneNegative","223","Inactive","C11H18O7","C11H18O7_[M-H]-",262.10525288
"LimoneneNegative","224","Inactive","C14H20O8","C14H20O8_[M-H]-",316.11581756
"LimoneneNegative","225","Inactive","C6H10O4","C6H10O4_[M-H]-",146.05790878
"LimoneneNegative","227","Inactive","C8H16O4","C8H16O4_[M-H]-",176.10485896
"LimoneneNegative","228","Inactive","C9H14O4","C9H14O4_[M-H]-",186.0892089
"LimoneneNegative","229","Inactive","C10H16O5","C10H16O5_[M-H]-",216.09977358
"LimoneneNegative","23","Inactive","C7H12O6","C7H12O6_[M-H]-",192.06338808
"LimoneneNegative","230","Inactive","C11H18O6","C11H18O6_[M-H]-",246.11033826
"LimoneneNegative","231","Inactive","C10H17ClO5","C10H17ClO5_[M-H]-",252.07645129
"LimoneneNegative","232","Inactive","C13H16O7","C13H16O7_[M-H]-",284.08960282
"LimoneneNegative","233","Inactive","C20H32O11","C20H32O11_[M-H]-",448.19446178
"LimoneneNegative","234","Inactive","C8H12O2","C8H12O2_[M-H]-",140.0837296
"LimoneneNegative","234","Inactive","C8H12O2","C8H12O2_[M-H2O-H]-",140.0837296
"LimoneneNegative","235","Inactive","C9H12O4","C9H12O4_[M-H2O-H]-",184.07355884
"LimoneneNegative","236","Inactive","C4H13N2O6","C4H13N2O6_[M-H]-",185.07736111
"LimoneneNegative","237","Inactive","C9H14O5","C9H14O5_[M-H]-",202.08412352
"LimoneneNegative","238","Inactive","C13H16O8","C13H16O8_[M-H]-",300.08451744
"LimoneneNegative","239","Inactive","C10H12O4","C10H12O4_[M-H2O-H]-",196.07355884
"LimoneneNegative","24","Inactive","C9H18O5","C9H18O5_[M-H]-",206.11542364
"LimoneneNegative","240","Inactive","C11H16O5","C11H16O5_[M-H]-",228.09977358
"LimoneneNegative","240","Inactive","C11H16O5","C11H16O5_[M-H2O-H]-",228.09977358
"LimoneneNegative","241","Inactive","C9H12O2","C9H12O2_[M-H2O-H]-",152.0837296
"LimoneneNegative","242","Inactive","C6H10O4","C6H10O4_[M-H]-",146.05790878
"LimoneneNegative","243","Inactive","C11H16O6","C11H16O6_[M-H2O-H]-",244.0946882
"LimoneneNegative","244","Inactive","C7H12O3","C7H12O3_[M-H]-",144.07864422
"LimoneneNegative","245","Inactive","C11H16O6","C11H16O6_[M-H2O-H]-",244.0946882
"LimoneneNegative","247","Inactive","C9H12O","C9H12O_[M-H2O-H]-",136.08881498
"LimoneneNegative","248","Inactive","C8H12O3","C8H12O3_[M-H2O-H]-",156.07864422
"LimoneneNegative","249","Inactive","C9H14O4","C9H14O4_[M-H]-",186.0892089
"LimoneneNegative","25","Inactive","C10H20O7","C10H20O7_[M-H]-",252.12090294
"LimoneneNegative","250","Inactive","C10H16O4","C10H16O4_[M-H]-",200.10485896
"LimoneneNegative","251","Inactive","C11H18O5","C11H18O5_[M-H]-",230.11542364
"LimoneneNegative","252","Inactive","C10H14O7","C10H14O7_[M-H]-",246.07395276
"LimoneneNegative","253","Inactive","C11H18O6","C11H18O6_[M-H]-",246.11033826
"LimoneneNegative","254","Inactive","C13H16O6","C13H16O6_[M-H]-",268.0946882
"LimoneneNegative","255","Inactive","C6H10O","C6H10O_[M-H]-",98.07316492
"LimoneneNegative","256","Inactive","C7H10O3","C7H10O3_[M-H]-",142.06299416
"LimoneneNegative","257","Inactive","C9H14O5","C9H14O5_[M-H]-",202.08412352
"LimoneneNegative","258","Inactive","C3H9N9O2","C3H9N9O2_[M-H]-",203.08792051
"LimoneneNegative","259","Active","C11H16O6","C11H16O6_[M-H]-",244.0946882
"LimoneneNegative","26","Inactive","C4H6O4","C4H6O4_[M-H]-",118.02660866
"LimoneneNegative","260","Inactive","C10H16O4","C10H16O4_[M-H]-",200.10485896
"LimoneneNegative","261","Inactive","C6H13N6O2","C6H13N6O2_[M-H]-",201.10999863
"LimoneneNegative","262","Inactive","C13H16O6","C13H16O6_[M-H]-",268.0946882
"LimoneneNegative","263","Inactive","C9H14O4","C9H14O4_[M-H]-",186.0892089
"LimoneneNegative","264","Inactive","C12H14O6","C12H14O6_[M-H]-",254.07903814
"LimoneneNegative","265","Inactive","C12H14O7","C12H14O7_[M-H]-",270.07395276
"LimoneneNegative","266","Inactive","C8H14O2","C8H14O2_[M-H]-",142.09937966
"LimoneneNegative","267","Inactive","C9H12O3","C9H12O3_[M-H2O-H]-",168.07864422
"LimoneneNegative","268","Inactive","C7H10O2","C7H10O2_[M-H]-",126.06807954
"LimoneneNegative","269","Inactive","C10H19ClO5","C10H19ClO5_[M-H]-",254.09210135
"LimoneneNegative","27","Inactive","C6H8O3","C6H8O3_[M-H2O-H]-",128.0473441
"LimoneneNegative","270","Inactive","C11H20O7","C11H20O7_[M-H]-",264.12090294
"LimoneneNegative","271","Active","C15H22O7","C15H22O7_[M-H]-",314.136553
"LimoneneNegative","272","Inactive","C10H16O5","C10H16O5_[M-H]-",216.09977358
