rank	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	0.094345205966461	-72.8283062162842	C10H14O6	[M - H2O - H]-	DUAWJQCMZICMIK	InChI=1S/C10H14O6/c11-7(3-5-9(13)14)1-2-8(12)4-6-10(15)16/h1-6H2,(H,13,14)(H,15,16)	4,7-dioxodecanedioic acid	C(CC(=O)CCC(=O)O)C(=O)CCC(=O)O	-1.60000002	1698	COCONUT:(CNP0020784);MeSH:(1698);PubChem:(1698);PubMed;PubChem class - bio and metabolites	18874438
2	1	N/A	-85.86773181185495	C10H14O6	[M - H2O - H]-	KOJJKPOPLGHOJX	InChI=1S/C10H14O6/c1-4-2-5(8(11)12)3-6(9(13)14)7(4)10(15)16/h4-7H,2-3H2,1H3,(H,11,12)(H,13,14)(H,15,16)	1,2,4-Cyclohexanetricarboxylic acid, 6-methyl-	CC1CC(CC(C1C(=O)O)C(=O)O)C(=O)O	0.100000001	68561310	PubChem:(68561310)	2
3	1	N/A	-89.13943667167335	C10H14O6	[M - H2O - H]-	FYGVLURPKLFVAB	InChI=1S/C10H14O6/c1-4-2-3-5(8(11)12)7(10(15)16)6(4)9(13)14/h4-7H,2-3H2,1H3,(H,11,12)(H,13,14)(H,15,16)	4-methylcyclohexane-1,2,3-tricarboxylic acid	CC1CCC(C(C1C(=O)O)C(=O)O)C(=O)O	0.300000012	20318177	PubChem:(20318177)	2
4	1	N/A	-89.56114960102687	C10H14O6	[M - H2O - H]-	BBPCZDAGDRQZMV	InChI=1S/C10H14O6/c1-6(11)7(5-10(15)16)4-8(12)2-3-9(13)14/h7H,2-5H2,1H3,(H,13,14)(H,15,16)	null	CC(=O)C(CC(=O)CCC(=O)O)CC(=O)O	-1.5	57509295	PubChem:(57509295)	2
5	1	N/A	-91.64537737605602	C10H14O6	[M - H2O - H]-	KYEQYANCRWTPDV	InChI=1S/C10H14O6/c1-4-5(8(11)12)2-3-6(9(13)14)7(4)10(15)16/h4-7H,2-3H2,1H3,(H,11,12)(H,13,14)(H,15,16)	1,2,4-Cyclohexanetricarboxylic acid, 3-methyl-	CC1C(CCC(C1C(=O)O)C(=O)O)C(=O)O	0.100000001	71353178	PubChem:(71353178)	2
6	1	N/A	-92.22688365030453	C10H14O6	[M - H2O - H]-	NUECYFOIXZDLDX	InChI=1S/C10H14O6/c1-3-5(8(11)12)4(2)7(10(15)16)6(3)9(13)14/h3-7H,1-2H3,(H,11,12)(H,13,14)(H,15,16)	null	CC1C(C(C(C1C(=O)O)C(=O)O)C)C(=O)O	0.200000003	90000527	PubChem:(90000527)	2
7	1	N/A	-96.71718357419732	C10H14O6	[M - H2O - H]-	FDKKVLOYFKJZOT	InChI=1S/C10H14O6/c1-5(11)7(9(13)14)3-4-8(6(2)12)10(15)16/h7-8H,3-4H2,1-2H3,(H,13,14)(H,15,16)	null	CC(=O)C(CCC(C(=O)C)C(=O)O)C(=O)O	-0.200000003	88455645	PubChem:(88455645)	2
8	1	N/A	-97.35932860111316	C10H14O6	[M - H2O - H]-	GKANIFTVQJTVFJ	InChI=1S/C10H14O6/c11-8(12)3-5-1-7(10(15)16)2-6(5)4-9(13)14/h5-7H,1-4H2,(H,11,12)(H,13,14)(H,15,16)	null	C1C(CC(C1CC(=O)O)CC(=O)O)C(=O)O	-0.200000003	90310540	PubChem:(90310540)	2
9	1	N/A	-100.6408252280439	C10H14O6	[M - H2O - H]-	YSMYOZDEIGMQFR	InChI=1S/C10H14O6/c11-8(12)5-3-1-2-4-6(9(13)14)7(5)10(15)16/h5-7H,1-4H2,(H,11,12)(H,13,14)(H,15,16)	null	C1CCC(C(C(C1)C(=O)O)C(=O)O)C(=O)O	0.400000006	67574310	PubChem:(67574310)	2
10	1	N/A	-101.35547314333019	C10H14O6	[M - H2O - H]-	VORNTJCNHNWRDT	InChI=1S/C10H14O6/c1-5(9(13)14)7(4-11)3-8(12)6(2)10(15)16/h7-8,11-12H,1-4H2,(H,13,14)(H,15,16)	null	C=C(C(CC(C(=C)C(=O)O)O)CO)C(=O)O	-0.600000024	90818556	PubChem:(90818556)	2
11	1	N/A	-102.13810879119035	C10H14O6	[M - H2O - H]-	VBYHYTFIPNUMTR	InChI=1S/C10H14O6/c1-2-3-8(12)7(10(15)16)4-6(11)5-9(13)14/h7H,2-5H2,1H3,(H,13,14)(H,15,16)	null	CCCC(=O)C(CC(=O)CC(=O)O)C(=O)O	-0.100000001	88774069	PubChem:(88774069)	2
12	1	N/A	-102.28626118991208	C10H14O6	[M - H2O - H]-	CVDCMTZYHNBCIA	InChI=1S/C10H14O6/c11-8(12)3-5-1-6(9(13)14)4-7(2-5)10(15)16/h5-7H,1-4H2,(H,11,12)(H,13,14)(H,15,16)	null	C1C(CC(CC1C(=O)O)C(=O)O)CC(=O)O	-0.100000001	15654127	PubChem:(15654127)	2
13	1	N/A	-102.63786551798725	C10H14O6	[M - H2O - H]-	YNSQDHGRXXSWRC	InChI=1S/C10H14O6/c1-4-2-6(9(13)14)7(10(15)16)3-5(4)8(11)12/h4-7H,2-3H2,1H3,(H,11,12)(H,13,14)(H,15,16)	1,2,4-Cyclohexanetricarboxylic acid, 5-methyl-	CC1CC(C(CC1C(=O)O)C(=O)O)C(=O)O	0.100000001	71377361	PubChem:(71377361)	2
14	1	N/A	-103.95685794448902	C10H14O6	[M - H2O - H]-	YCMOFKFJGMDTLG	InChI=1S/C10H14O6/c1-3-16-10(15)9(6(2)11)7(12)4-5-8(13)14/h9H,3-5H2,1-2H3,(H,13,14)	null	CCOC(=O)C(C(=O)C)C(=O)CCC(=O)O	-0.300000012	131861410	PubChem:(131861410)	2
15	1	N/A	-104.94342584418592	C10H14O6	[M - H2O - H]-	VKCGQWQVKMYHAZ	InChI=1S/C10H14O6/c1-3-16-10(14)6-8(12)4-7(11)5-9(13)15-2/h3-6H2,1-2H3	null	CCOC(=O)CC(=O)CC(=O)CC(=O)OC	0.200000003	102478516	PubChem:(102478516)	2
16	1	N/A	-107.686175727067	C10H14O6	[M - H2O - H]-	MXIRGYOCWOFCDH	InChI=1S/C10H14O6/c11-7(9(14)10(15)16)5-3-1-2-4-6-8(12)13/h1-6H2,(H,12,13)(H,15,16)	null	C(CCCC(=O)O)CCC(=O)C(=O)C(=O)O	1.29999995	129688588	PubChem:(129688588)	2
17	1	N/A	-107.8758606903107	C10H14O6	[M - H2O - H]-	XYTJTMODBQHDRP	InChI=1S/C10H14O6/c1-5(11)7(3-9(13)14)8(6(2)12)4-10(15)16/h7-8H,3-4H2,1-2H3,(H,13,14)(H,15,16)	3,4-diacetylhexanedioic acid	CC(=O)C(CC(=O)O)C(CC(=O)O)C(=O)C	-1.39999998	59751639	PubChem:(59751639)	2
18	1	N/A	-107.97181526999049	C10H14O6	[M - H2O - H]-	CJQHMDDBXJTEJV	InChI=1S/C10H14O6/c1-5(7(11)9(13)14)3-4-6(2)8(12)10(15)16/h5-6H,3-4H2,1-2H3,(H,13,14)(H,15,16)	null	CC(CCC(C)C(=O)C(=O)O)C(=O)C(=O)O	0.800000012	123265414	PubChem:(123265414)	2
19	1	N/A	-108.293399112571	C10H14O6	[M - H2O - H]-	OGVJYVARSFZVSC	InChI=1S/C10H14O6/c1-5(11)3-8(10(15)16)7(6(2)12)4-9(13)14/h7-8H,3-4H2,1-2H3,(H,13,14)(H,15,16)	null	CC(=O)CC(C(CC(=O)O)C(=O)C)C(=O)O	-1.39999998	121242435	PubChem:(121242435)	2
20	1	N/A	-109.58511940942365	C10H14O6	[M - H2O - H]-	CAWUGQZIGQVALH	InChI=1S/C10H14O6/c1-5(11)16-7-4-6(9(12)14-2)8(7)10(13)15-3/h6-8H,4H2,1-3H3	null	CC(=O)OC1CC(C1C(=O)OC)C(=O)OC	0.0	10933273;11117860	PubChem:(10933273 11117860)	2
