rank	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	0.12152389582990351	-179.3714599057157	C8H16N2O5S	[M - H]-	ZQEIFIYDPHNZCU	InChI=1S/C8H16N2O5S/c1-7(11)9-3-5-14-16(13)15-6-4-10-8(2)12/h3-6H2,1-2H3,(H,9,11)(H,10,12)	null	CC(=O)NCCOS(=O)OCCNC(=O)C	-1.20000005	88831338	PubChem:(88831338)	2
2	1	N/A	-219.66428668531105	C8H16N2O5S	[M - H]-	RSUALSMTAXIGDS	InChI=1S/C8H16N2O5S/c1-16(14,15)6-5-10-8(13)9-4-2-3-7(11)12/h2-6H2,1H3,(H,11,12)(H2,9,10,13)	null	CS(=O)(=O)CCNC(=O)NCCCC(=O)O	-1.39999998	61206123	PubChem:(61206123)	2
3	1	N/A	-226.15718545936542	C8H16N2O5S	[M - H]-	NXXMZSNMCPGOMV	InChI=1S/C8H16N2O5S/c9-7(11)3-1-5-10-16(14,15)6-2-4-8(12)13/h10H,1-6H2,(H2,9,11)(H,12,13)	null	C(CC(=O)N)CNS(=O)(=O)CCCC(=O)O	-1.60000002	60864274	PubChem:(60864274)	2
4	1	N/A	-228.1155510770697	C8H16N2O5S	[M - H]-	LHMQPXWWPSXJJR	InChI=1S/C8H16N2O5S/c1-16(14,15)6-2-4-9-8(13)10-5-3-7(11)12/h2-6H2,1H3,(H,11,12)(H2,9,10,13)	null	CS(=O)(=O)CCCNC(=O)NCCC(=O)O	-1.39999998	61808898	PubChem:(61808898)	2
5	1	N/A	-232.71567092313407	C8H16N2O5S	[M - H]-	QXPBHVMPAZKBKW	InChI=1S/C8H16N2O5S/c11-8(10-5-1-2-6-10)9-4-3-7-15-16(12,13)14/h1-7H2,(H,9,11)(H,12,13,14)	null	C1CCN(C1)C(=O)NCCCOS(=O)(=O)O	-0.699999988	102334262	PubChem:(102334262)	2
6	1	N/A	-233.30091066957363	C8H16N2O5S	[M - H]-	DAMONABQULTENX	InChI=1S/C8H16N2O5S/c1-10(2)8(13)9-6(7(11)12)4-5-16(3,14)15/h6H,4-5H2,1-3H3,(H,9,13)(H,11,12)	null	CN(C)C(=O)NC(CCS(=O)(=O)C)C(=O)O	-1.10000002	61194959	PubChem:(61194959)	2
7	1	N/A	-233.70721346794446	C8H16N2O5S	[M - H]-	WPNAYJWBULRPLI	InChI=1S/C8H16N2O5S/c11-8(7-3-1-4-9-7)10-5-2-6-15-16(12,13)14/h7,9H,1-6H2,(H,10,11)(H,12,13,14)	null	C1CC(NC1)C(=O)NCCCOS(=O)(=O)O	-3.29999995	125507366;125507367	PubChem:(125507366 125507367)	2
8	1	N/A	-234.29723543519694	C8H16N2O5S	[M - H]-	BBEONXGXJIGOIE	InChI=1S/C8H16N2O5S/c1-7(11)9-4-5-10-16(14,15)6-2-3-8(12)13/h10H,2-6H2,1H3,(H,9,11)(H,12,13)	null	CC(=O)NCCNS(=O)(=O)CCCC(=O)O	-1.5	43552802	PubChem:(43552802)	2
9	1	N/A	-235.6936616687997	C8H16N2O5S	[M - H]-	DKMJIXDNQAADEB	InChI=1S/C8H16N2O5S/c9-7(11)2-5-16(14,15)6-4-10-3-1-8(12)13/h10H,1-6H2,(H2,9,11)(H,12,13)	null	C(CNCCS(=O)(=O)CCC(=O)N)C(=O)O	-4.80000019	43466317	PubChem:(43466317)	2
10	1	N/A	-236.62004751166108	C8H16N2O5S	[M - H]-	ZVWRUUUUGMSGPA	InChI=1S/C8H16N2O5S/c1-9-5-7(11)10-6(8(12)13)3-4-16(2,14)15/h6,9H,3-5H2,1-2H3,(H,10,11)(H,12,13)	null	CNCC(=O)NC(CCS(=O)(=O)C)C(=O)O	-3.79999995	61157970	PubChem:(61157970)	2
11	1	N/A	-236.8753833779273	C8H16N2O5S	[M - H]-	JFXLPDQGYNOAKR	InChI=1S/C8H16N2O5S/c1-9-16(14,15)6-5-10-7(11)3-2-4-8(12)13/h9H,2-6H2,1H3,(H,10,11)(H,12,13)	null	CNS(=O)(=O)CCNC(=O)CCCC(=O)O	-1.60000002	106334738	PubChem:(106334738)	2
12	1	N/A	-238.0825202205309	C8H16N2O5S	[M - H]-	UUOGWFHGHSIDNO	InChI=1S/C8H16N2O5S/c1-6(5-7(11)12)10-8(13)9-3-4-16(2,14)15/h6H,3-5H2,1-2H3,(H,11,12)(H2,9,10,13)	null	CC(CC(=O)O)NC(=O)NCCS(=O)(=O)C	-1.29999995	61204831	PubChem:(61204831)	2
13	1	N/A	-238.5693799228404	C8H16N2O5S	[M - H]-	KNWBASDTXOXDMZ	InChI=1S/C8H16N2O5S/c1-6(11)10-7(8(12)13)5-9-3-4-16(2,14)15/h7,9H,3-5H2,1-2H3,(H,10,11)(H,12,13)	null	CC(=O)NC(CNCCS(=O)(=O)C)C(=O)O	-4.19999981	64581669	PubChem:(64581669)	2
14	1	N/A	-239.50405793612094	C8H16N2O5S	[M - H]-	RHALJSXALNXUKX	InChI=1S/C8H16N2O5S/c1-3-6(7(11)12)10-8(13)9-4-5-16(2,14)15/h6H,3-5H2,1-2H3,(H,11,12)(H2,9,10,13)	null	CCC(C(=O)O)NC(=O)NCCS(=O)(=O)C	-0.699999988	61204833;65811725;81670210	PubChem:(61204833 65811725 81670210)	2
15	1	N/A	-242.99540284203331	C8H16N2O5S	[M - H]-	ZNZRSOCQRYGJNQ	InChI=1S/C8H16N2O5S/c9-16(14,15)6-2-5-10-7(11)3-1-4-8(12)13/h1-6H2,(H,10,11)(H,12,13)(H2,9,14,15)	null	C(CC(=O)NCCCS(=O)(=O)N)CC(=O)O	-1.60000002	61884146	PubChem:(61884146)	2
16	1	N/A	-243.05953096394967	C8H16N2O5S	[M - H]-	LUQXDBGTHHYBTO	InChI=1S/C8H16N2O5S/c1-10(5-6-16(2,14)15)8(13)9-4-3-7(11)12/h3-6H2,1-2H3,(H,9,13)(H,11,12)	null	CN(CCS(=O)(=O)C)C(=O)NCCC(=O)O	-1.60000002	79864608	PubChem:(79864608)	2
17	1	N/A	-243.262007443689	C8H16N2O5S	[M - H]-	GZSPSJLDIMPYMG	InChI=1S/C8H16N2O5S/c1-6(5-16(2,14)15)10-8(13)9-4-3-7(11)12/h6H,3-5H2,1-2H3,(H,11,12)(H2,9,10,13)	null	CC(CS(=O)(=O)C)NC(=O)NCCC(=O)O	-1.29999995	64641896	PubChem:(64641896)	2
18	1	N/A	-247.00322799463376	C8H16N2O5S	[M - H]-	XPJWOTDRMVRLDY	InChI=1S/C8H16N2O5S/c1-3-9-8(13)10-6(7(11)12)4-5-16(2,14)15/h6H,3-5H2,1-2H3,(H,11,12)(H2,9,10,13)	null	CCNC(=O)NC(CCS(=O)(=O)C)C(=O)O	-0.899999976	43164845	PubChem:(43164845)	2
19	1	N/A	-248.03001204081286	C8H16N2O5S	[M - H]-	GPKAOXFDSYTTDI	InChI=1S/C8H16N2O5S/c1-16(14,15)10-6-2-5-9-7(11)3-4-8(12)13/h10H,2-6H2,1H3,(H,9,11)(H,12,13)	null	CS(=O)(=O)NCCCNC(=O)CCC(=O)O	-1.60000002	106334647	PubChem:(106334647)	2
20	1	N/A	-248.956985365845	C8H16N2O5S	[M - H]-	MXHGPZOPAAOHEG	InChI=1S/C8H16N2O5S/c1-9-7(11)4-5-10-16(14,15)6-2-3-8(12)13/h10H,2-6H2,1H3,(H,9,11)(H,12,13)	null	CNC(=O)CCNS(=O)(=O)CCCC(=O)O	-1.60000002	61860975	PubChem:(61860975)	2
21	1	N/A	-249.07567163588473	C8H16N2O5S	[M - H]-	XHXHIKZSLQEIIW	InChI=1S/C8H16N2O5S/c1-2-16(14,15)6-5-10-8(13)9-4-3-7(11)12/h2-6H2,1H3,(H,11,12)(H2,9,10,13)	null	CCS(=O)(=O)CCNC(=O)NCCC(=O)O	-1.39999998	105781627	PubChem:(105781627)	2
22	1	N/A	-249.3867542025077	C8H16N2O5S	[M - H]-	NACUSPJKZACNDC	InChI=1S/C8H16N2O5S/c1-16(14,15)10-6-5-9-7(11)3-2-4-8(12)13/h10H,2-6H2,1H3,(H,9,11)(H,12,13)	null	CS(=O)(=O)NCCNC(=O)CCCC(=O)O	-1.60000002	43546071	PubChem:(43546071)	2
23	1	N/A	-249.63964995478938	C8H16N2O5S	[M - H]-	VMEOBAIAVRVCDX	InChI=1S/C8H16N2O5S/c1-10(5-3-7(11)12)8(13)9-4-6-16(2,14)15/h3-6H2,1-2H3,(H,9,13)(H,11,12)	null	CN(CCC(=O)O)C(=O)NCCS(=O)(=O)C	-1.60000002	61205029	PubChem:(61205029)	2
24	1	N/A	-250.74725768004504	C8H16N2O5S	[M - H]-	JAMXURVFJXLGRP	InChI=1S/C8H16N2O5S/c1-16(14,15)5-4-10-8(13)6(9)2-3-7(11)12/h6H,2-5,9H2,1H3,(H,10,13)(H,11,12)	null	CS(=O)(=O)CCNC(=O)C(CCC(=O)O)N	-4.4000001	64887956	PubChem:(64887956)	2
25	1	N/A	-250.9368939126472	C8H16N2O5S	[M - H]-	VPFLFBUCODPUKM	InChI=1S/C8H16N2O5S/c1-16(14,15)4-2-3-10-8(13)6(9)5-7(11)12/h6H,2-5,9H2,1H3,(H,10,13)(H,11,12)	null	CS(=O)(=O)CCCNC(=O)C(CC(=O)O)N	-4.4000001	64897099	PubChem:(64897099)	2
26	1	N/A	-251.33469990585135	C8H16N2O5S	[M - H]-	ZZUKKRBJJRUTOF	InChI=1S/C8H16N2O5S/c9-7(11)3-1-2-5-10-16(14,15)6-4-8(12)13/h10H,1-6H2,(H2,9,11)(H,12,13)	null	C(CCNS(=O)(=O)CCC(=O)O)CC(=O)N	-1.60000002	106234829	PubChem:(106234829)	2
27	1	N/A	-251.37342201194846	C8H16N2O5S	[M - H]-	UVGGVORTEJGEDI	InChI=1S/C8H16N2O5S/c1-10(2)16(14,15)6-5-9-7(11)3-4-8(12)13/h3-6H2,1-2H3,(H,9,11)(H,12,13)	null	CN(C)S(=O)(=O)CCNC(=O)CCC(=O)O	-1.70000005	106334792	PubChem:(106334792)	2
28	1	N/A	-252.3924460018424	C8H16N2O5S	[M - H]-	WBTSQMYYVLFYFB	InChI=1S/C8H16N2O5S/c1-10(6-7(11)12)8(13)9-4-3-5-16(2,14)15/h3-6H2,1-2H3,(H,9,13)(H,11,12)	null	CN(CC(=O)O)C(=O)NCCCS(=O)(=O)C	-1.10000002	61808542	PubChem:(61808542)	2
29	1	N/A	-253.08013709352088	C8H16N2O5S	[M - H]-	XZDQAVCXNDCIAG	InChI=1S/C8H16N2O5S/c1-6(2)16(14,15)4-3-9-8(13)10-5-7(11)12/h6H,3-5H2,1-2H3,(H,11,12)(H2,9,10,13)	null	CC(C)S(=O)(=O)CCNC(=O)NCC(=O)O	-0.899999976	106722797	PubChem:(106722797)	2
30	1	N/A	-253.40043758193679	C8H16N2O5S	[M - H]-	AWHVFJIPRYTXDZ	InChI=1S/C8H16N2O5S/c1-5(2)16(14,15)4-6(9)8(13)10-3-7(11)12/h5-6H,3-4,9H2,1-2H3,(H,10,13)(H,11,12)	null	CC(C)S(=O)(=O)CC(C(=O)NCC(=O)O)N	-3.79999995	134442395	PubChem:(134442395)	2
31	1	N/A	-253.72555159845336	C8H16N2O5S	[M - H]-	SRVLQZFMXFPDEN	InChI=1S/C8H16N2O5S/c1-6(8(12)13)16(14,15)5-2-7(11)10-4-3-9/h6H,2-5,9H2,1H3,(H,10,11)(H,12,13)	null	CC(C(=O)O)S(=O)(=O)CCC(=O)NCCN	-4.4000001	82182740	PubChem:(82182740)	2
32	1	N/A	-254.00330892199145	C8H16N2O5S	[M - H]-	JYOIDKYMENKQFZ	InChI=1S/C8H16N2O5S/c1-2-10-16(14,15)6-5-9-7(11)3-4-8(12)13/h10H,2-6H2,1H3,(H,9,11)(H,12,13)	null	CCNS(=O)(=O)CCNC(=O)CCC(=O)O	-1.60000002	103925542	PubChem:(103925542)	2
33	1	N/A	-254.0385122549168	C8H16N2O5S	[M - H]-	DKDDTOFSEDZJDX	InChI=1S/C8H16N2O5S/c1-10(3-2-8(12)13)16(14,15)9-6-4-7(11)5-6/h6-7,9,11H,2-5H2,1H3,(H,12,13)	null	CN(CCC(=O)O)S(=O)(=O)NC1CC(C1)O	-1.29999995	65974607	PubChem:(65974607)	2
34	1	N/A	-255.44787147140102	C8H16N2O5S	[M - H]-	IWCGSPXWSQPTNW	InChI=1S/C8H16N2O5S/c11-8(12)2-1-3-9-16(13,14)10-4-6-15-7-5-10/h9H,1-7H2,(H,11,12)	null	C1COCCN1S(=O)(=O)NCCCC(=O)O	-1.29999995	28783606	PubChem:(28783606)	2
35	1	N/A	-255.74858359359055	C8H16N2O5S	[M - H]-	RAPIOGUBVMPCCC	InChI=1S/C8H16N2O5S/c11-8(12)7-6-10(4-2-9-7)3-1-5-16(13,14)15/h7,9H,1-6H2,(H,11,12)(H,13,14,15)	2-Piperazinecarboxylic acid, 4-(3-sulfopropyl)-	C1CN(CC(N1)C(=O)O)CCCS(=O)(=O)O	-6.0999999	13491853	PubChem:(13491853)	2
36	1	N/A	-256.7433369642799	C8H16N2O5S	[M - H]-	PHVKCRFLOPLEBH	InChI=1S/C8H16N2O5S/c9-16(14,15)6-5-10-7(11)3-1-2-4-8(12)13/h1-6H2,(H,10,11)(H,12,13)(H2,9,14,15)	null	C(CCC(=O)O)CC(=O)NCCS(=O)(=O)N	-1.60000002	43551676	PubChem:(43551676)	2
37	1	N/A	-257.35295713921255	C8H16N2O5S	[M - H]-	MRTLFAAXOKNGIG	InChI=1S/C8H16N2O5S/c1-16(14,15)5-3-6(9)8(13)10-4-2-7(11)12/h6H,2-5,9H2,1H3,(H,10,13)(H,11,12)	null	CS(=O)(=O)CCC(C(=O)NCCC(=O)O)N	-4.4000001	61158572	PubChem:(61158572)	2
38	1	N/A	-257.86621084512484	C8H16N2O5S	[M - H]-	SRKHEPZTIWKMQD	InChI=1S/C8H16N2O5S/c1-9(2)7(11)5-6(16(13,14)15)8(12)10(3)4/h6H,5H2,1-4H3,(H,13,14,15)	1,4-bis(dimethylamino)-1,4-dioxobutane-2-sulfonate	CN(C)C(=O)CC(C(=O)N(C)C)S(=O)(=O)O	-1.89999998	59882700;59882701	PubChem:(59882700 59882701)	2
39	1	N/A	-258.02664193143494	C8H16N2O5S	[M - H]-	WGHDKFWEXMEBIF	InChI=1S/C8H16N2O5S/c1-6(5-7(9)11)10-16(14,15)4-2-3-8(12)13/h6,10H,2-5H2,1H3,(H2,9,11)(H,12,13)	null	CC(CC(=O)N)NS(=O)(=O)CCCC(=O)O	-1.5	116304850	PubChem:(116304850)	2
40	1	N/A	-259.1936311820007	C8H16N2O5S	[M - H]-	UYBFJMDMDCURLL	InChI=1S/C8H16N2O5S/c1-2-16(14,15)4-3-10-8(13)6(9)5-7(11)12/h6H,2-5,9H2,1H3,(H,10,13)(H,11,12)	null	CCS(=O)(=O)CCNC(=O)C(CC(=O)O)N	-4.4000001	105776104	PubChem:(105776104)	2
