"nrounds","AUC","threshold","Accuracy","Kappa","Sensitivity","Specificity","Precision","NPV","Balanced_Accuracy"
100,0.806022408963585,0.517353862524033,81.1188811188811,0.412060301507537,62.5,84.8739495798319,45.4545454545455,91.8181818181818,73.686974789916
200,0.803221288515406,0.482818841934204,77.6223776223776,0.367256637168142,66.6666666666667,79.8319327731092,40,92.2330097087379,73.249299719888
300,0.812324929971989,0.585177659988403,83.9160839160839,0.451559112889778,58.3333333333333,89.0756302521009,51.8518518518519,91.3793103448276,73.7044817927171
