rank	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	0.12516758356573948	-86.53790415516046	C12H20O6	[M - H2O - H]-	UBDACELMWYJAML	InChI=1S/C12H20O6/c13-10(14)4-2-1-3-9(5-7-11(15)16)6-8-12(17)18/h9H,1-8H2,(H,13,14)(H,15,16)(H,17,18)	4-(2-carboxyethyl)nonanedioic acid	C(CCC(=O)O)CC(CCC(=O)O)CCC(=O)O	1.10000002	20313756	PubChem:(20313756)	2
2	1	N/A	-94.84428951097314	C12H20O6	[M - H2O - H]-	FLFQGHATELECIJ	InChI=1S/C12H20O6/c1-3-7(10(13)14)5-9(12(17)18)6-8(4-2)11(15)16/h7-9H,3-6H2,1-2H3,(H,13,14)(H,15,16)(H,17,18)	nonane-2,4,6-tricarboxylate	CCC(CC(CC(CC)C(=O)O)C(=O)O)C(=O)O	1.53676975	20583965;20583966;20583967	PubChem:(20583965 20583966 20583967)	2
3	1	N/A	-97.77606956235829	C12H20O6	[M - H2O - H]-	OXRUKXRLNJXYRF	InChI=1S/C12H20O6/c1-3-7(13)5-9(11(15)16)10(12(17)18)6-8(14)4-2/h7-8,13-14H,3-6H2,1-2H3,(H,15,16)(H,17,18)	null	CCC(CC(=C(CC(CC)O)C(=O)O)C(=O)O)O	0.600000024	20189704;20189705;54175043	PubChem:(20189704 20189705 54175043)	2
4	1	N/A	-97.81956458126983	C12H20O6	[M - H2O - H]-	YAFKXYMVZKABEI	InChI=1S/C12H20O6/c13-10(14)7-3-1-5-9(12(17)18)6-2-4-8-11(15)16/h9H,1-8H2,(H,13,14)(H,15,16)(H,17,18)	null	C(CCC(=O)O)CC(CCCCC(=O)O)C(=O)O	1.29999995	23470560	PubChem:(23470560)	2
5	1	N/A	-103.06132748003466	C12H20O6	[M - H2O - H]-	CQWCXFWTFRSTPB	InChI=1S/C12H20O6/c1-9(13)7-11(15)17-5-3-4-6-18-12(16)8-10(2)14/h3-4,9-10,13-14H,5-8H2,1-2H3	[(E)-4-(3-hydroxybutanoyloxy)but-2-enyl] 3-hydroxybutanoate	CC(CC(=O)OCC=CCOC(=O)CC(C)O)O	-0.300000012	20653397;59954957;73692797	PubChem:(20653397 59954957 73692797)	2
6	1	N/A	-104.78984018768827	C12H20O6	[M - H2O - H]-	ULZJCXICKOUKON	InChI=1S/C12H20O6/c13-10(14)6-4-2-1-3-5-9(12(17)18)7-8-11(15)16/h9H,1-8H2,(H,13,14)(H,15,16)(H,17,18)	null	C(CCCC(=O)O)CCC(CCC(=O)O)C(=O)O	1.39999998	14396335	PubChem:(14396335)	2
7	1	N/A	-106.45248544398136	C12H20O6	[M - H2O - H]-	WLNRQTJJXYSOHG	InChI=1S/C12H20O6/c1-4-11(2,3)12(5-8(13)14,6-9(15)16)7-10(17)18/h4-7H2,1-3H3,(H,13,14)(H,15,16)(H,17,18)	null	CCC(C)(C)C(CC(=O)O)(CC(=O)O)CC(=O)O	1.10000002	87908271	PubChem:(87908271)	2
8	1	N/A	-110.53875666559784	C12H20O6	[M - H2O - H]-	WAIRGFYPZUYYFU	InChI=1S/C12H20O6/c1-10(13)17-8-5-3-7-12(16)18-9-4-2-6-11(14)15/h2-9H2,1H3,(H,14,15)	null	CC(=O)OCCCCC(=O)OCCCCC(=O)O	0.899999976	12642004	PubChem:(12642004)	2
9	1	N/A	-112.58167423994433	C12H20O6	[M - H2O - H]-	ZKDSYVPOPSJGFQ	InChI=1S/C12H20O6/c1-7(6-16-9(3)13)12(18-11(5)15)8(2)17-10(4)14/h7-8,12H,6H2,1-5H3	null	CC(COC(=O)C)C(C(C)OC(=O)C)OC(=O)C	1.20000005	101719420;123355437	PubChem:(101719420 123355437)	2
10	1	N/A	-113.07883563916756	C12H20O6	[M - H2O - H]-	GQTRXQFFTLJBBR	InChI=1S/C12H20O6/c1-5-11(17-9(3)14)12(18-10(4)15)6-7-16-8(2)13/h11-12H,5-7H2,1-4H3	null	CCC(C(CCOC(=O)C)OC(=O)C)OC(=O)C	1.29999995	138474147	PubChem:(138474147)	2
11	1	N/A	-113.85508488101414	C12H20O6	[M - H2O - H]-	LPTGZLRYEZUKTQ	InChI=1S/C12H20O6/c1-9(13)16-7-5-12(4,18-11(3)15)6-8-17-10(2)14/h5-8H2,1-4H3	null	CC(=O)OCCC(C)(CCOC(=O)C)OC(=O)C	0.899999976	131857152	PubChem:(131857152)	2
12	1	N/A	-113.99177858543152	C12H20O6	[M - H2O - H]-	XFJLGCPRNBMFHZ	InChI=1S/C12H20O6/c1-4-17-11(14)7-9(6-10(13)16-3)8-12(15)18-5-2/h9H,4-8H2,1-3H3	null	CCOC(=O)CC(CC(=O)OC)CC(=O)OCC	0.699999988	91011264	PubChem:(91011264)	2
13	1	N/A	-114.51559099674527	C12H20O6	[M - H2O - H]-	XNIGFDCJKBNOQZ	InChI=1S/C12H20O6/c1-2-3-4-5-6-8(11(15)16)9(12(17)18)7-10(13)14/h8-9H,2-7H2,1H3,(H,13,14)(H,15,16)(H,17,18)	null	CCCCCCC(C(CC(=O)O)C(=O)O)C(=O)O	1.79999995	23470557	PubChem:(23470557)	2
14	1	N/A	-115.74682953384611	C12H20O6	[M - H2O - H]-	CUROLLRJLUJLLL	InChI=1S/C12H20O6/c1-3-4-5-6-18-10(13)7-9(12(16)17)8(2)11(14)15/h8-9H,3-7H2,1-2H3,(H,14,15)(H,16,17)	null	CCCCCOC(=O)CC(C(C)C(=O)O)C(=O)O	1.39999998	101279058	PubChem:(101279058)	2
15	1	N/A	-116.26780499682054	C12H20O6	[M - H2O - H]-	BQWAPBHDKUCHPH	InChI=1S/C12H20O6/c1-2-3-4-5-12(6-9(13)14,7-10(15)16)8-11(17)18/h2-8H2,1H3,(H,13,14)(H,15,16)(H,17,18)	null	CCCCCC(CC(=O)O)(CC(=O)O)CC(=O)O	1.5	87256499	PubChem:(87256499)	2
