rank	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	0.23713463970877738	-114.32954359933706	C15H22O7	[M - H]-	JQPGYJSSJIANAB	InChI=1S/C15H22O7/c16-9(3-1-2-4-14(19)20)5-6-10-11(7-15(21)22)13(18)8-12(10)17/h10-12,17H,1-8H2,(H,19,20)(H,21,22)	7-Hydroxy-5,11-diketotetranorprosta-1,16-dioic Acid	C1C(C(C(C1=O)CC(=O)O)CCC(=O)CCCCC(=O)O)O	-1.0	71751558	PubChem:(71751558)	2
2	1	N/A	-167.47523269209907	C15H22O7	[M - H]-	HABAWTTYGGWRHG	InChI=1S/C15H22O7/c1-9(16)22-12-8-11(17)10(14(12)15(20)21)6-4-2-3-5-7-13(18)19/h10,12,14H,2-8H2,1H3,(H,18,19)(H,20,21)	(1R,2R,5R)-5-acetyloxy-2-(6-carboxyhexyl)-3-oxocyclopentane-1-carboxylic acid	CC(=O)OC1CC(=O)C(C1C(=O)O)CCCCCCC(=O)O	1.0	22788034	PubChem:(22788034)	2
3	1	N/A	-174.86713585870552	C15H22O7	[M - H]-	CQFWFIDMYIOFFD	InChI=1S/C15H22O7/c1-3-13(16)19-9-5-7-11-21-15(18)22-12-8-6-10-20-14(17)4-2/h3-4H,1-2,5-12H2	null	C=CC(=O)OCCCCOC(=O)OCCCCOC(=O)C=C	2.9000001	57015665	PubChem:(57015665)	2
4	1	N/A	-180.9787560759407	C15H22O7	[M - H]-	XNTHBFOZMFZRTQ	InChI=1S/C15H22O7/c1-9(17)20-13-6-4-12(8-16)5-7-14(21-10(2)18)15(13)22-11(3)19/h8,12-15H,4-7H2,1-3H3	null	CC(=O)OC1CCC(CCC(C1OC(=O)C)OC(=O)C)C=O	0.800000012	54370339	PubChem:(54370339)	2
5	1	N/A	-181.32861309764064	C15H22O7	[M - H]-	WBOZJIDVGOGODB	InChI=1S/C15H22O7/c1-11-7-22-10(18)6-14(5-8(16)13(11,3)20)12(2,19)4-9(17)15(11,14)21/h9,17,19-21H,4-7H2,1-3H3	1alpha-hydroxypseudoanisatin	CC1(CC(C2(C13CC(=O)C(C2(COC(=O)C3)C)(C)O)O)O)O	-2.0	44566795	COCONUT:(CNP0231514);Natural Products:(UNPD194186);PubChem:(44566795);SuperNatural:(SN00267033);PubMed	3178562
6	1	N/A	-188.31214291249475	C15H22O7	[M - H]-	AGJSLOBQHXKLTI	InChI=1S/C15H22O7/c16-7-1-2-9-3-5-10(6-4-9)21-15-14(20)13(19)12(18)11(8-17)22-15/h1-5,10-20H,6-8H2	null	C1C=C(C=CC1OC2C(C(C(C(O2)CO)O)O)O)C=CCO	-0.912738025	""	KEGG Mine	8589934592
7	1	N/A	-188.8970121288717	C15H22O7	[M - H]-	DLLJDDINUMYWOT	InChI=1S/C15H22O7/c16-11-8-12(17)10(7-13(18)15(21)22)9(11)5-3-1-2-4-6-14(19)20/h9-10,12,17H,1-8H2,(H,19,20)(H,21,22)	7-[(1S,2S,3S)-2-(2-carboxy-2-oxoethyl)-3-hydroxy-5-oxocyclopentyl]heptanoic acid	C1C(C(C(C1=O)CCCCCCC(=O)O)CC(=O)C(=O)O)O	0.600000024	22794269	PubChem:(22794269)	2
8	1	N/A	-189.74721732941578	C15H22O7	[M - H]-	VYDZBGSISYGZLU	InChI=1S/C15H22O7/c1-7-13(16)19-9(3)11(5)21-15(18)22-12(6)10(4)20-14(17)8-2/h7-12H,1-2H2,3-6H3	3-(3-prop-2-enoyloxybutan-2-yloxycarbonyloxy)butan-2-yl prop-2-enoate	CC(C(C)OC(=O)OC(C)C(C)OC(=O)C=C)OC(=O)C=C	3.20000005	20689843	PubChem:(20689843)	2
9	1	N/A	-193.14784891356942	C15H22O7	[M - H]-	LTHWAIHQURJBOI	InChI=1S/C15H22O7/c1-11-7-22-10(18)9(17)14(6-8(16)13(11,3)20)12(2,19)4-5-15(11,14)21/h9,17,19-21H,4-7H2,1-3H3	null	CC1(CCC2(C13CC(=O)C(C2(COC(=O)C3O)C)(C)O)O)O	-1.60000002	10757619;15431101	COCONUT:(CNP0414061);Natural Products:(UNPD31602);PubChem:(10757619 15431101);SuperNatural:(SN00395629)	3178498
10	1	N/A	-195.71405113586005	C15H22O7	[M - H]-	PMZYDSODWDSHNU	InChI=1S/C15H22O7/c1-14(2)19-10-8(6-7-9(16)17-5)18-13-12(11(10)20-14)21-15(3,4)22-13/h6-8,10-13H,1-5H3	methyl (E)-3-[(3aR,5R,5aS,8aS,8bR)-2,2,7,7-tetramethyl-5,5a,8a,8b-tetrahydro-3aH-di[1,3]dioxolo[4,5-a:5'',4''-d]pyran-5-yl]prop-2-enoate	CC1(OC2C(OC3C(C2O1)OC(O3)(C)C)C=CC(=O)OC)C	0.800000012	11674046;134969991	PubChem:(11674046 134969991)	2
