rank	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	0.11249863861348895	-99.73784525050277	C9H14O7	[M - H]-	JBMNVGDZOFKACE	InChI=1S/C9H14O7/c10-5-3-9(16,8(14)15)2-4(7(5)13)1-6(11)12/h4-5,7,10,13,16H,1-3H2,(H,11,12)(H,14,15)	null	C1C(C(C(CC1(C(=O)O)O)O)O)CC(=O)O	-2.0	10752140	PubChem:(10752140)	2
2	1	N/A	-100.75360495228989	C9H14O7	[M - H]-	JCOBITKOJLBBLE	InChI=1S/C9H14O7/c1-4(10)5(11)2-6(12)7(13)3-8(14)9(15)16/h4,6,8,10,12,14H,2-3H2,1H3,(H,15,16)	null	CC(C(=O)CC(C(=O)CC(C(=O)O)O)O)O	-2.4000001	57096817	PubChem:(57096817)	2
3	1	N/A	-105.0188692586269	C9H14O7	[M - H]-	YDOJVCYHLNYRFI	InChI=1S/C9H14O7/c1-2-3(10)4(11)5(12)8-6(13)7(14)9(15)16-8/h4-8,11-14H,2H2,1H3	(3R,4R,5S)-5-[(1R)-1,2-dihydroxy-3-oxopentyl]-3,4-dihydroxyoxolan-2-one	CCC(=O)C(C(C1C(C(C(=O)O1)O)O)O)O	-1.79999995	22842160	PubChem:(22842160)	2
4	1	N/A	-105.77925617503045	C9H14O7	[M - H]-	GNJRGTGFDLHFDA	InChI=1S/C9H14O7/c1-2-4(11)6(13)8(15)9(16)7(14)5(12)3-10/h2-3,5-9,12-16H,1H2	null	C=CC(=O)C(C(C(C(C(C=O)O)O)O)O)O	-3.0999999	118866560	PubChem:(118866560)	2
5	1	N/A	-106.0806427150927	C9H14O7	[M - H]-	VMIGMPSCEKHEFJ	InChI=1S/C9H14O7/c1-9(2)15-6-3(10)5(4(11)7(12)13)14-8(6)16-9/h3-6,8,10-11H,1-2H3,(H,12,13)	(2S)-2-[(3aR,5S)-6-hydroxy-2,2-dimethyl-3a,5,6,6a-tetrahydrofuro[2,3-d][1,3]dioxol-5-yl]-2-hydroxyacetic acid	CC1(OC2C(C(OC2O1)C(C(=O)O)O)O)C	-0.800000012	58978902;71154279	PubChem:(58978902 71154279)	2
6	1	N/A	-107.90898540730228	C9H14O7	[M - H]-	YJCMTBZIBUEJOZ	InChI=1S/C9H14O7/c10-6(11)1-3-9(16,5-8(14)15)4-2-7(12)13/h16H,1-5H2,(H,10,11)(H,12,13)(H,14,15)	null	C(CC(CCC(=O)O)(CC(=O)O)O)C(=O)O	-1.39999998	132491753	PubChem:(132491753)	2
7	1	N/A	-117.98792389439085	C9H14O7	[M - H]-	YNPKOQYWJZNZGP	InChI=1S/C9H14O7/c10-6(11)3-1-2-4-9(16,8(14)15)5-7(12)13/h16H,1-5H2,(H,10,11)(H,12,13)(H,14,15)	trihomocitrate	C(CCC(CC(=O)O)(C(=O)O)O)CC(=O)O	-0.899999976	25200710;24892804;44123319	COCONUT:(CNP0349062);PubChem:(25200710 24892804 44123319);CHEBI:(72699 72698);PubChem class - bio and metabolites;KEGG:(C16598);Biocyc:(CPD-301)	18876706
8	1	N/A	-119.88840889312421	C9H14O7	[M - H]-	RJYAMEVLUVSKRE	InChI=1S/C9H14O7/c1-2-3-4(10)5(11)6(12)7(13)8(14)9(15)16/h2,5-8,11-14H,1,3H2,(H,15,16)	Allyl-D-glucuronate	C=CCC(=O)C(C(C(C(C(=O)O)O)O)O)O	-2.20000005	71307269;71307270;129851154	PubChem:(71307269 71307270 129851154)	2
9	1	N/A	-120.67631009181048	C9H14O7	[M - H]-	FXNMVBLVGGAZGI	InChI=1S/C9H14O7/c10-6(11)2-1-3-9(16,4-7(12)13)5-8(14)15/h16H,1-5H2,(H,10,11)(H,12,13)(H,14,15)	null	C(CC(=O)O)CC(CC(=O)O)(CC(=O)O)O	-1.39999998	102157592	PubChem:(102157592)	2
10	1	N/A	-121.02619598448788	C9H14O7	[M - H]-	HBSDKQLAZFMDIL	InChI=1S/C9H14O7/c1-5(8(14)15)9(16,4-7(12)13)3-2-6(10)11/h5,16H,2-4H2,1H3,(H,10,11)(H,12,13)(H,14,15)	null	CC(C(=O)O)C(CCC(=O)O)(CC(=O)O)O	-0.805771708	""	KEGG Mine	8589934592
