rank	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	0.09025188360304082	-123.50029477177671	C12H14O6	[M - H]-	KZWNTOSKUBEJLM	InChI=1S/C12H14O6/c1-2-8(13)11-9(14)6-7(18-12(11)17)4-3-5-10(15)16/h6,14H,2-5H2,1H3,(H,15,16)	null	CCC(=O)C1=C(C=C(OC1=O)CCCC(=O)O)O	1.20000005	121002506	PubChem:(121002506)	2
2	1	N/A	-125.02683322210395	C12H14O6	[M - H]-	UUXROLRWOIYSPD	InChI=1S/C12H14O6/c1-7-6-9(14)11(12(17)18-7)8(13)4-2-3-5-10(15)16/h6,14H,2-5H2,1H3,(H,15,16)	null	CC1=CC(=C(C(=O)O1)C(=O)CCCCC(=O)O)O	1.10000002	121003459	PubChem:(121003459)	2
3	1	N/A	-148.1055567330497	C12H14O6	[M - H]-	ALPIZIJBAXVJRC	InChI=1S/C12H14O6/c1-7(13)11-9(14)6-8(18-12(11)17)4-2-3-5-10(15)16/h6,14H,2-5H2,1H3,(H,15,16)	null	CC(=O)C1=C(C=C(OC1=O)CCCCC(=O)O)O	1.10000002	71519961	PubChem:(71519961);COCONUT:(CNP0296008)	2097154
4	1	N/A	-159.64375752489505	C12H14O6	[M - H]-	OZTKEDKUTLRFRW	InChI=1S/C12H14O6/c1-7(13)11-9(14)6-8(18-12(11)16)4-3-5-10(15)17-2/h6,14H,3-5H2,1-2H3	null	CC(=O)C1=C(C=C(OC1=O)CCCC(=O)OC)O	1.0	72192311	PubChem:(72192311)	2
5	1	N/A	-170.8817273972983	C12H14O6	[M - H]-	UQLZEANNMOBJFL	InChI=1S/C12H14O6/c1-3-7(13)11-6(2)10(12(16)17)8(18-11)4-5-9(14)15/h3-5H2,1-2H3,(H,14,15)(H,16,17)	null	CCC(=O)C1=C(C(=C(O1)CCC(=O)O)C(=O)O)C	1.20000005	129725048	COCONUT:(CNP0320852);Natural Products:(UNPD7630);PubChem:(129725048)	2129922
6	1	N/A	-177.85540738833393	C12H14O6	[M - H]-	IEMMTCVWKRLXBH	InChI=1S/C12H14O6/c13-7(9-3-16-9)1-6(12(15)11-5-18-11)2-8(14)10-4-17-10/h6,9-11H,1-5H2	null	C1C(O1)C(=O)CC(CC(=O)C2CO2)C(=O)C3CO3	-1.70000005	89081841	PubChem:(89081841)	2
7	1	N/A	-183.2837829340473	C12H14O6	[M - H]-	BRZLUAOQUFODDF	InChI=1S/C12H14O6/c1-6-2-3-8(14)11(12(17)18)10(6)7(13)4-5-9(15)16/h2-3,8,11,14H,4-5H2,1H3,(H,15,16)(H,17,18)	null	CC1=C(C(C(C=C1)O)C(=O)O)C(=O)CCC(=O)O	-0.18341206	""	EcoCyc Mine;KEGG Mine	25769803776
8	1	N/A	-183.87642888479152	C12H14O6	[M - H]-	AASKBHAJKBFXFQ	InChI=1S/C12H14O6/c13-9-3-7(4-10(14)17-9)1-2-8-5-11(15)18-12(16)6-8/h7-8H,1-6H2	4-[2-(2,6-dioxooxan-4-yl)ethyl]oxane-2,6-dione	C1C(CC(=O)OC1=O)CCC2CC(=O)OC(=O)C2	0.400000006	20752283	PubChem:(20752283)	2
9	1	N/A	-185.83771857179696	C12H14O6	[M - H]-	KAQYVPUGFFMZOF	InChI=1S/C12H14O6/c1-6-4-7(8(13)2-3-10(15)16)11(12(17)18)9(14)5-6/h4-5,9,11,14H,2-3H2,1H3,(H,15,16)(H,17,18)	null	CC1=CC(C(C(=C1)C(=O)CCC(=O)O)C(=O)O)O	-0.18341206	""	EcoCyc Mine;KEGG Mine	25769803776
10	1	N/A	-190.00633922227118	C12H14O6	[M - H]-	HELUJIVRHIQDEZ	InChI=1S/C12H14O6/c13-8(2-1-3-10(15)12(17)18)7-4-5-9(14)11(16)6-7/h4-6,9,11,14,16H,1-3H2,(H,17,18)	null	C1=CC(=CC(C1O)O)C(=O)CCCC(=O)C(=O)O	-0.329897255	""	KEGG Mine	8589934592
