rank	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	0.0676550215774057	-70.16003777884131	C9H16O2	[M - H2O - H]-	WXWBWVFEDGAQCZ	InChI=1S/C9H16O2/c10-9(11)5-3-1-2-4-8-6-7-8/h8H,1-7H2,(H,10,11)	null	C1CC1CCCCCC(=O)O	2.52612352	16114138	PubChem:(16114138)	2
2	1	N/A	-70.78483733874837	C9H16O2	[M - H2O - H]-	LLOKWGLEIFDBKD	InChI=1S/C9H16O2/c1-3-8(2)6-4-5-7-9(10)11/h3,8H,1,4-7H2,2H3,(H,10,11)	null	CC(CCCCC(=O)O)C=C	2.5999999	62707203;76955389	PubChem:(62707203 76955389)	2
3	1	N/A	-71.75857267012121	C9H16O2	[M - H2O - H]-	VJICCZIMJKBXME	InChI=1S/C9H16O2/c1-3-5-6-7-8(4-2)9(10)11/h4,8H,2-3,5-7H2,1H3,(H,10,11)	2-ethenylheptanoate	CCCCCC(C=C)C(=O)O	3.0999999	5282666;21553361;129361978;129361979	PubChem:(5282666 21553361 129361978 129361979)	2
4	1	N/A	-71.77809667960506	C9H16O2	[M - H2O - H]-	QPJIWNZALIHERM	InChI=1S/C9H16O2/c10-9(11)7-2-1-4-8-5-3-6-8/h8H,1-7H2,(H,10,11)	null	C1CC(C1)CCCCC(=O)O	2.79999995	85823809	PubChem:(85823809)	2
5	1	N/A	-73.04192202535901	C9H16O2	[M - H2O - H]-	AWQOXJOAQMCOED	InChI=1S/C9H16O2/c1-2-3-4-5-6-7-8-9(10)11/h2H,1,3-8H2,(H,10,11)	zlchem 1290	C=CCCCCCCC(=O)O	2.69723487	35860;10654494;10678504;10678518;10702080;10773237;10820841;23160068	COCONUT:(CNP0050217 CNP0155879 CNP0373603);Natural Products:(UNPD126878);PubChem:(35860 10654494 10678504 10678518 10702080 10773237 10820841 23160068);SuperNatural:(SN00156549);ZINC bio:(ZINC02010892);PubChem class - safety and toxic	70295554
6	1	N/A	-73.85464694312006	C9H16O2	[M - H2O - H]-	GXZYOWKUROMAMQ	InChI=1S/C9H16O2/c10-8-6-4-2-1-3-5-7-9-11/h10-11H,2,4-9H2	null	C(CCO)CC#CCCCO	0.899999976	13113272	PubChem:(13113272)	2
7	1	N/A	-82.46439477169174	C9H16O2	[M - H2O - H]-	BWGGJFAUIVIUHX	InChI=1S/C9H16O2/c1-2-9(8-11)6-4-3-5-7-10/h1,9-11H,3-8H2	null	C#CC(CCCCCO)CO	0.800000012	118040505	PubChem:(118040505)	2
8	1	N/A	-85.99682500034471	C9H16O2	[M - H2O - H]-	PTVCOFYYPPRDAZ	InChI=1S/C9H16O2/c10-8-6-4-2-1-3-5-7-9-11/h10-11H,1-4,6,8-9H2	ACMC-20lysq	C(CCCO)CCC#CCO	1.20000005	10997284	PubChem:(10997284)	2
9	1	N/A	-87.21668721972789	C9H16O2	[M - H2O - H]-	CSUTZKBVCZFCJR	InChI=1S/C9H16O2/c1-3-4-5-6-7-8(2)9(10)11/h3,8H,1,4-7H2,2H3,(H,10,11)	7-Octenoic acid, 2-methyl-	CC(CCCCC=C)C(=O)O	2.62145066	17824946;58311458	PubChem:(17824946 58311458)	2
10	1	N/A	-87.8525677907563	C9H16O2	[M - H2O - H]-	DASFVVBHWSSNGQ	InChI=1S/C9H16O2/c1-2-8(9(10)11)6-5-7-3-4-7/h7-8H,2-6H2,1H3,(H,10,11)	null	CCC(CCC1CC1)C(=O)O	2.45033932	79424897	PubChem:(79424897)	2
11	1	N/A	-88.40878126285449	C9H16O2	[M - H2O - H]-	TZZGYFVJUIYFDD	InChI=1S/C9H16O2/c1-4-6-9(3,7-5-2)8(10)11/h4H,1,5-7H2,2-3H3,(H,10,11)	null	CCCC(C)(CC=C)C(=O)O	2.70000005	79421623	PubChem:(79421623)	2
12	1	N/A	-89.25205815663307	C9H16O2	[M - H2O - H]-	ZBQCPWMIGVSOGB	InChI=1S/C9H16O2/c1-2-3-4-5-6-7-8-9(10)11/h2-3H,4-8H2,1H3,(H,10,11)	7-Nonenoic acid	CC=CCCCCCC(=O)O	2.5	21554314;21554315;54538770;88838280	COCONUT:(CNP0377539);Natural Products:(UNPD68973);PubChem:(21554314 21554315 54538770 88838280)	2129922
13	1	N/A	-90.34960313173707	C9H16O2	[M - H2O - H]-	LZXDVSLQVOVNNU	InChI=1S/C9H16O2/c1-3-4-5-6-8(2)7-9(10)11/h2-7H2,1H3,(H,10,11)	3-methylideneoctanoic acid	CCCCCC(=C)CC(=O)O	3.20000005	20484765	PubChem:(20484765)	2
