rank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass
1	C7H10O2	[M - H]-	C7H10O2	44.859202944287276	41.92490276367362	2.934300180613657	9	1.0	1.0514326069582611	2.4848699042805618	2.8537404461671056	
2	C5H8N3O	[M - H]-	C5H8N3O	-0.8629852637151103	-1.8496901932282224	0.9867049295131121	4	0.3400781972881403	6.029992360728373	7.997434768395459	13.58995942900655	
