"Feature","MeanAbsSHAP"
"exactMass",0.348426978771178
"Un357",0.0831901651877173
"Un714",0.0417162908218778
"Un8428",0.0405446700930134
"Un1224",0.0326504703055974
"Un4394",0.0308534225006653
"Un511",0.0229513664968399
"Un867",0.020447100976399
"Un1200",0.0190183938077838
"Un4816",0.0183995831676715
"Un881",0.0178032858001488
"Un1705",0.0162006260073322
"Un1534",0.0160456967331251
"Un713",0.0157342378730989
"Un8341",0.015685781739551
"Un486",0.0152914677485551
"Un415",0.0147861689358332
"Un2972",0.0130169286813297
"Un1044",0.0127298793215794
"Un341",0.0121087882381849
