rank	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
713	1	N/A	-187.13388254821194	C11H20O4	[M - H]-	LRNHDMIDDUALIA	InChI=1S/C11H20O4/c1-2-3-4-5-6-7-9(13)11(15)10(14)8-12/h10,12,14H,2-8H2,1H3	null	CCCCCCCC(=O)C(=O)C(CO)O	1.29999995	45267702;56674151	PubChem:(45267702 56674151);PubMed	66
714	1	N/A	-187.15468574736542	C11H20O4	[M - H]-	CWJZKAIETZQLEO	InChI=1S/C11H20O4/c1-9(2)10(3,7-15-14)5-6-11(9,4)8(12)13/h14H,5-7H2,1-4H3,(H,12,13)	null	CC1(C(CCC1(C)C(=O)O)(C)COO)C	1.79999995	23563896	PubChem:(23563896)	2
715	1	N/A	-187.27665967148894	C11H20O4	[M - H]-	MUDSRRNZMZDQSY	InChI=1S/C11H20O4/c1-7(9(12)13)8(10(14)15)5-6-11(2,3)4/h7-8H,5-6H2,1-4H3,(H,12,13)(H,14,15)	2-(3,3-dimethylbutyl)-3-methylbutanedioic acid	CC(C(CCC(C)(C)C)C(=O)O)C(=O)O	2.5	59906373	PubChem:(59906373)	2
716	1	N/A	-187.318991178363	C11H20O4	[M - H]-	JRYPVRPUWQRSOE	InChI=1S/C11H20O4/c1-5-8(9(12)15-6-2)7-11(3,4)10(13)14/h8H,5-7H2,1-4H3,(H,13,14)	4-ethoxycarbonyl-2,2-dimethylhexanoic acid	CCC(CC(C)(C)C(=O)O)C(=O)OCC	2.0999999	20818169	PubChem:(20818169)	2
717	1	N/A	-187.34745260188458	C11H20O4	[M - H]-	KPOSSYOFERCGHQ	InChI=1S/C11H20O4/c1-4-8(5-2)6-7-11(3,9(12)13)10(14)15/h8H,4-7H2,1-3H3,(H,12,13)(H,14,15)	null	CCC(CC)CCC(C)(C(=O)O)C(=O)O	3.20000005	87569020	PubChem:(87569020)	2
718	1	N/A	-187.39935607332467	C11H20O4	[M - H]-	ZFMAHACGDXIMSE	InChI=1S/C11H20O4/c1-5-7-11(8-6-2,9(12)14-3)10(13)15-4/h5-8H2,1-4H3	Dimethyl 2,2-dipropylmalonate	CCCC(CCC)(C(=O)OC)C(=O)OC	2.9000001	589321	PubChem:(589321)	2
719	1	N/A	-187.47319902405945	C11H20O4	[M - H]-	QXVXWYWDKOZIAN	InChI=1S/C11H20O4/c1-4-6-10(14-3)9(12)7-8-11(13)15-5-2/h10H,4-8H2,1-3H3	null	CCCC(C(=O)CCC(=O)OCC)OC	1.20000005	116728021	PubChem:(116728021)	2
720	1	N/A	-187.58873405393402	C11H20O4	[M - H]-	WPTMNLSWWLYKGJ	InChI=1S/C11H20O4/c1-10(2,9(12)13)11(3,14)8-4-6-15-7-5-8/h8,14H,4-7H2,1-3H3,(H,12,13)	null	CC(C)(C(=O)O)C(C)(C1CCOCC1)O	0.800000012	105469801	PubChem:(105469801)	2
721	1	N/A	-187.68861364411313	C11H20O4	[M - H]-	TYHAWJYIHXBHDW	InChI=1S/C11H20O4/c1-4-5-6-7-15-11(13)9(2)8-10(12)14-3/h9H,4-8H2,1-3H3	null	CCCCCOC(=O)C(C)CC(=O)OC	2.20000005	66547967	PubChem:(66547967)	2
722	1	N/A	-187.71375553038516	C11H20O4	[M - H]-	UFRFRRFSUXFSHL	InChI=1S/C11H20O4/c1-3-5-6-8-14-9-7-10(11(12)13)15-4-2/h3,10H,1,4-9H2,2H3,(H,12,13)	null	CCOC(CCOCCCC=C)C(=O)O	1.70000005	79114783	PubChem:(79114783)	2
723	1	N/A	-187.74203649098175	C11H20O4	[M - H]-	SBYOLEBRRLDDJO	InChI=1S/C11H20O4/c1-3-4-9(10(12)13)11(14,7-15-2)8-5-6-8/h8-9,14H,3-7H2,1-2H3,(H,12,13)	null	CCCC(C(=O)O)C(COC)(C1CC1)O	1.0	83043266	PubChem:(83043266)	2
724	1	N/A	-187.75966055657497	C11H20O4	[M - H]-	KCTFOSGMJLRYOB	InChI=1S/C11H20O4/c1-2-3-4-5-6-7-8-9(12)10(13)11(14)15/h10,13H,2-8H2,1H3,(H,14,15)	2-hydroxy-3-oxoundecanoic acid	CCCCCCCCC(=O)C(C(=O)O)O	2.5999999	18971009	PubChem:(18971009)	2
725	1	N/A	-187.86626795699155	C11H20O4	[M - H]-	MFFGDDZRPILCPF	InChI=1S/C11H20O4/c1-8(12)6-7-15-10-4-2-9(3-5-10)11(13)14/h8-10,12H,2-7H2,1H3,(H,13,14)	null	CC(CCOC1CCC(CC1)C(=O)O)O	1.0	114450950	PubChem:(114450950)	2
726	1	N/A	-187.9175864018934	C11H20O4	[M - H]-	XCFUHRZFBQCUIS	InChI=1S/C11H20O4/c1-8(9(12)13)7-11(5,6)15-14-10(2,3)4/h1,7H2,2-6H3,(H,12,13)	null	CC(C)(C)OOC(C)(C)CC(=C)C(=O)O	2.20000005	23176865	PubChem:(23176865)	2
727	1	N/A	-187.92056453477014	C11H20O4	[M - H]-	KIRCECOCUCLSKF	InChI=1S/C11H20O4/c1-2-3-4-5-6-7-8-9-10(12)15-11(13)14/h2-9H2,1H3,(H,13,14)	null	CCCCCCCCCC(=O)OC(=O)O	4.0999999	87602598	PubChem:(87602598)	2
728	1	N/A	-187.98826925447588	C11H20O4	[M - H]-	PTBXMMUTSLDVDB	InChI=1S/C11H20O4/c1-10(2,8(13)7-12)5-6-11(3,4)9(14)15/h12H,5-7H2,1-4H3,(H,14,15)	null	CC(C)(CCC(C)(C)C(=O)O)C(=O)CO	1.29999995	89631332	PubChem:(89631332)	2
729	1	N/A	-187.99723063928974	C11H20O4	[M - H]-	FEWMLFSNJWXZFU	InChI=1S/C11H20O4/c1-3-9(11(13)14-2)10(12)8-4-6-15-7-5-8/h8-10,12H,3-7H2,1-2H3	null	CCC(C(C1CCOCC1)O)C(=O)OC	1.0	62395274	PubChem:(62395274)	2
730	1	N/A	-188.01944616039188	C11H20O4	[M - H]-	ADUZFIYTLWBECC	InChI=1S/C11H20O4/c1-8(4-5-11(14)15-3)6-9(2)7-10(12)13/h8-9H,4-7H2,1-3H3,(H,12,13)	null	CC(CCC(=O)OC)CC(C)CC(=O)O	2.0	139318327	PubChem:(139318327)	2
731	1	N/A	-188.12260622640642	C11H20O4	[M - H]-	WFRGJGPALKAKDU	InChI=1S/C11H20O4/c1-5-9(7-10(12)14-6-2)11(13)15-8(3)4/h8-9H,5-7H2,1-4H3	null	CCC(CC(=O)OCC)C(=O)OC(C)C	2.0	87446159	PubChem:(87446159)	2
732	1	N/A	-188.12522555477702	C11H20O4	[M - H]-	DPWHPSKEUMXSHG	InChI=1S/C11H20O4/c1-3-4-5-6-7-15-10(12)8-9(2)11(13)14/h9H,3-8H2,1-2H3,(H,13,14)	null	CCCCCCOC(=O)CC(C)C(=O)O	2.5	135239453	PubChem:(135239453)	2
733	1	N/A	-188.13716109976812	C11H20O4	[M - H]-	LVSKUGYJMJDYNZ	InChI=1S/C11H20O4/c1-3-12-4-2-6-14-8-11(7-13-5-1)9-15-10-11/h1-10H2	null	C1COCCCOCC2(COC1)COC2	0.0	85650762	PubChem:(85650762)	2
734	1	N/A	-188.14542336805337	C11H20O4	[M - H]-	SJBKJYOISXTOKX	InChI=1S/C11H20O4/c1-5-9(10(12)14-6-2)11(13)15-7-8(3)4/h8-9H,5-7H2,1-4H3	null	CCC(C(=O)OCC)C(=O)OCC(C)C	2.79999995	57234576	PubChem:(57234576)	2
735	1	N/A	-188.29452036379894	C11H20O4	[M - H]-	OCAUWBFHXZJMCF	InChI=1S/C11H20O4/c1-5-6-9(12)14-7-8-15-10(13)11(2,3)4/h5-8H2,1-4H3	null	CCCC(=O)OCCOC(=O)C(C)(C)C	2.20000005	87716224	PubChem:(87716224)	2
736	1	N/A	-188.31268393715663	C11H20O4	[M - H]-	FHGHNWCXVIWIFB	InChI=1S/C11H20O4/c1-4-5-6-8(10(14)15)11(2,3)7-9(12)13/h8H,4-7H2,1-3H3,(H,12,13)(H,14,15)	null	CCCCC(C(=O)O)C(C)(C)CC(=O)O	2.4000001	22743976;22743977	PubChem:(22743976 22743977)	2
737	1	N/A	-188.42522981123366	C11H20O4	[M - H]-	SSNAKSQSSNNDON	InChI=1S/C11H20O4/c1-14-7-4-8-15-10-6-3-2-5-9(10)11(12)13/h9-10H,2-8H2,1H3,(H,12,13)	null	COCCCOC1CCCCC1C(=O)O	1.29999995	114989139	PubChem:(114989139)	2
738	1	N/A	-188.45623809933718	C11H20O4	[M - H]-	DIAPQLVRGPALMN	InChI=1S/C11H20O4/c1-5-7-9(11(13)14-4)10(6-2)15-8(3)12/h9-10H,5-7H2,1-4H3	null	CCCC(C(CC)OC(=O)C)C(=O)OC	2.4000001	10656356;101703881;101703882;101703883	PubChem:(10656356 101703881 101703882 101703883)	2
739	1	N/A	-188.46519368427337	C11H20O4	[M - H]-	OBYPQNWSYBJOID	InChI=1S/C11H20O4/c1-3-5-9(6-4-2)15-11(14)8-7-10(12)13/h9H,3-8H2,1-2H3,(H,12,13)	4-heptan-4-yloxy-4-oxobutanoic acid	CCCC(CCC)OC(=O)CCC(=O)O	2.0999999	59847865	PubChem:(59847865)	2
740	1	N/A	-188.46581415236494	C11H20O4	[M - H]-	YJJZIKDLQMBNHV	InChI=1S/C11H20O4/c1-3-5-10(4-2)11(13)15-9-8-14-7-6-12/h5,12H,3-4,6-9H2,1-2H3	null	CCC=C(CC)C(=O)OCCOCCO	1.29999995	87998722	PubChem:(87998722)	2
741	1	N/A	-188.47102964983236	C11H20O4	[M - H]-	SRZFBRDVZBVLHG	InChI=1S/C11H20O4/c1-10(2,15-3)4-5-11(14)6-8(7-11)9(12)13/h8,14H,4-7H2,1-3H3,(H,12,13)	null	CC(C)(CCC1(CC(C1)C(=O)O)O)OC	0.600000024	103035221	PubChem:(103035221)	2
742	1	N/A	-188.48465811462557	C11H20O4	[M - H]-	GLUOFPZZBVZKBG	InChI=1S/C11H20O4/c1-5-6-8(7-9(12)13)10(14)15-11(2,3)4/h8H,5-7H2,1-4H3,(H,12,13)	null	CCCC(CC(=O)O)C(=O)OC(C)(C)C	2.0	18628949;57056168	PubChem:(18628949 57056168)	2
743	1	N/A	-188.53725272091464	C11H20O4	[M - H]-	LCDUSOCDPKJOHA	InChI=1S/C11H20O4/c1-5-9(4)11(13)15-7-6-14-10(12)8(2)3/h8-9H,5-7H2,1-4H3	null	CCC(C)C(=O)OCCOC(=O)C(C)C	2.4000001	88979256	PubChem:(88979256)	2
744	1	N/A	-188.5744626285351	C11H20O4	[M - H]-	SNEFNTRRBMSYAZ	InChI=1S/C11H20O4/c1-2-4-9(11(13)14)10(12)8-5-3-6-15-7-8/h8-10,12H,2-7H2,1H3,(H,13,14)	null	CCCC(C(C1CCCOC1)O)C(=O)O	1.20000005	83042663	PubChem:(83042663)	2
745	1	N/A	-188.6775233101664	C11H20O4	[M - H]-	VWEMRLZJNGDGMM	InChI=1S/C11H20O4/c1-15-11(14)9-4-5-10(13)8(7-9)3-2-6-12/h8-10,12-13H,2-7H2,1H3	null	COC(=O)C1CCC(C(C1)CCCO)O	0.600000024	13616909;131864894	PubChem:(13616909 131864894)	2
746	1	N/A	-188.72349954459526	C11H20O4	[M - H]-	JYWRCPXWBZKQPF	InChI=1S/C11H20O4/c1-4-6-11(13)14-8-7-10(5-2)15-9(3)12/h10H,4-8H2,1-3H3	null	CCCC(=O)OCCC(CC)OC(=O)C	2.20000005	57301002	PubChem:(57301002)	2
747	1	N/A	-188.74137703619627	C11H20O4	[M - H]-	WPOLYDSQASOMBG	InChI=1S/C11H20O4/c1-3-5-6-10(15-9-12)8-11(13)14-7-4-2/h9-10H,3-8H2,1-2H3	null	CCCCC(CC(=O)OCCC)OC=O	2.70000005	23556637	PubChem:(23556637)	2
748	1	N/A	-188.7437981287961	C11H20O4	[M - H]-	CRJJLJYNKGDPQC	InChI=1S/C11H20O4/c1-15-11(14)9(7-12)10(13)8-5-3-2-4-6-8/h8-10,12-13H,2-7H2,1H3	null	COC(=O)C(CO)C(C1CCCCC1)O	1.20000005	101574790	PubChem:(101574790)	2
749	1	N/A	-188.7468931705884	C11H20O4	[M - H]-	FXWOWZHRCPIZEL	InChI=1S/C11H20O4/c1-7(12)8(6-9(13)15-5)10(14)11(2,3)4/h7-8,12H,6H2,1-5H3	null	CC(C(CC(=O)OC)C(=O)C(C)(C)C)O	0.899999976	58300265;58300300	PubChem:(58300265 58300300)	2
750	1	N/A	-188.76253193312388	C11H20O4	[M - H]-	XTESVTOXPDVXAL	InChI=1S/C11H20O4/c1-10(2,3)15-9(12)8-11(4)13-6-5-7-14-11/h5-8H2,1-4H3	null	CC1(OCCCO1)CC(=O)OC(C)(C)C	1.20000005	67888578	PubChem:(67888578)	2
751	1	N/A	-188.77507261191593	C11H20O4	[M - H]-	QIZQGVMVRZIBBS	InChI=1S/C11H20O4/c1-5-14-9(12)7-8-11(3,4)10(13)15-6-2/h5-8H2,1-4H3	Diethyl 2,2-dimethylglutarate	CCOC(=O)CCC(C)(C)C(=O)OCC	1.89999998	550221	PubChem:(550221);NORMAN:(NS00059050)	262146
752	1	N/A	-188.77689861117207	C11H20O4	[M - H]-	SPMOUVBTAJMPNG	InChI=1S/C11H20O4/c1-4-6-14-7-10(12)8-15-11(13)9(3)5-2/h4,9-10,12H,1,5-8H2,2-3H3	(2-hydroxy-3-prop-2-enoxypropyl) 2-methylbutanoate	CCC(C)C(=O)OCC(COCC=C)O	1.39999998	21039834	PubChem:(21039834)	2
753	1	N/A	-188.7794285788194	C11H20O4	[M - H]-	CGWPWPOWRBJHCW	InChI=1S/C11H20O4/c1-6(2)8(9(12)13)11(5,7(3)4)10(14)15/h6-8H,1-5H3,(H,12,13)(H,14,15)	null	CC(C)C(C(=O)O)C(C)(C(C)C)C(=O)O	2.29999995	57003875	PubChem:(57003875)	2
754	1	N/A	-188.8160596699775	C11H20O4	[M - H]-	ISFHESIXABVYJU	InChI=1S/C11H20O4/c1-4-5-6-10(12)13-7-9-8-14-11(2,3)15-9/h9H,4-8H2,1-3H3	Pentanoic acid, (2,2-dimethyl-1,3-dioxolan-4-yl)methyl ester	CCCCC(=O)OCC1COC(O1)(C)C	1.70000005	14241356;101004494	PubChem:(14241356 101004494)	2
755	1	N/A	-188.8441695198734	C11H20O4	[M - H]-	XPOIXVQDJDBJNU	InChI=1S/C11H20O4/c1-5-10(4,6-2)11(7-3,8(12)13)9(14)15/h5-7H2,1-4H3,(H,12,13)(H,14,15)	null	CCC(C)(CC)C(CC)(C(=O)O)C(=O)O	3.0	53446615;53446616	PubChem:(53446615 53446616)	2
756	1	N/A	-188.85480072895453	C11H20O4	[M - H]-	POHFJDNDQIJJBZ	InChI=1S/C11H20O4/c1-4-6-11(9(12)13,10(14)15)7-5-8(2)3/h8H,4-7H2,1-3H3,(H,12,13)(H,14,15)	null	CCCC(CCC(C)C)(C(=O)O)C(=O)O	3.0	121216852	PubChem:(121216852)	2
757	1	N/A	-189.01972202493087	C11H20O4	[M - H]-	UBQWHHQVIGQZNM	InChI=1S/C11H20O4/c1-4-6-11(13)14-8-7-9(3)15-10(12)5-2/h9H,4-8H2,1-3H3	null	CCCC(=O)OCCC(C)OC(=O)CC	2.0999999	88507066	PubChem:(88507066)	2
758	1	N/A	-189.1090348064096	C11H20O4	[M - H]-	BSLJRBCGVKHLME	InChI=1S/C11H20O4/c1-10(2,8(12)14-5)7-11(3,4)9(13)15-6/h7H2,1-6H3	dimethyl 2,2,4,4-tetramethylpentanedioate	CC(C)(CC(C)(C)C(=O)OC)C(=O)OC	2.0999999	13635021	PubChem:(13635021)	2
759	1	N/A	-189.17569487855087	C11H20O4	[M - H]-	ZYJJSUAEQXTCNZ	InChI=1S/C11H20O4/c1-8(7-12)9(13)5-6-10(14)15-11(2,3)4/h5-6,8-9,12-13H,7H2,1-4H3	null	CC(CO)C(C=CC(=O)OC(C)(C)C)O	0.800000012	122373669	PubChem:(122373669)	2
760	1	N/A	-189.22938611635573	C11H20O4	[M - H]-	KFTHJVIHDDZFPS	InChI=1S/C11H20O4/c1-2-15-10(11(12)13)8-14-7-9-5-3-4-6-9/h9-10H,2-8H2,1H3,(H,12,13)	null	CCOC(COCC1CCCC1)C(=O)O	1.79999995	66323590	PubChem:(66323590)	2
761	1	N/A	-189.25754352383805	C11H20O4	[M - H]-	CMZBNWLUVQCAGV	InChI=1S/C11H20O4/c1-11(2,10(14)15)8-6-4-3-5-7-9(12)13/h3-8H2,1-2H3,(H,12,13)(H,14,15)	2,2-dimethylnonanedioic acid	CC(C)(CCCCCCC(=O)O)C(=O)O	2.5	19020899	PubChem:(19020899)	2
762	1	N/A	-189.2727274738572	C11H20O4	[M - H]-	CSVOGGJDCGQGGH	InChI=1S/C11H20O4/c1-4-6-11(7-5-2)15-10-14-9-13-8-12-3/h4-5,11H,1-2,6-10H2,3H3	null	COCOCOCOC(CC=C)CC=C	2.20000005	88561859	PubChem:(88561859)	2
763	1	N/A	-189.36343136781252	C11H20O4	[M - H]-	HZXVAUOUJXHOCR	InChI=1S/C11H20O4/c1-13-6-7-15-9-11(12)8-10-2-4-14-5-3-10/h10H,2-9H2,1H3	null	COCCOCC(=O)CC1CCOCC1	0.200000003	108052255	PubChem:(108052255)	2
764	1	N/A	-189.3843471590493	C11H20O4	[M - H]-	JSFPKGAKZGUWDH	InChI=1S/C11H20O4/c1-4-9(3)6-14-7-10(12)8-15-11(13)5-2/h5,9-10,12H,2,4,6-8H2,1,3H3	null	CCC(C)COCC(COC(=O)C=C)O	1.60000002	57147541	PubChem:(57147541)	2
765	1	N/A	-189.40641679723933	C11H20O4	[M - H]-	NJCFQLIZIBEBKX	InChI=1S/C11H20O4/c1-5-13-10(12)7-11(4)14-8(2)6-9(3)15-11/h8-9H,5-7H2,1-4H3	ethyl 2-(2,4,6-trimethyl-1,3-dioxan-2-yl)acetate	CCOC(=O)CC1(OC(CC(O1)C)C)C	1.5	349129;102351639	PubChem:(349129 102351639)	2
766	1	N/A	-189.47026352072328	C11H20O4	[M - H]-	RSHIPHHMTHLPIQ	InChI=1S/C11H20O4/c1-7-4-5-10(15-8(7)2)9(12)6-11(13)14-3/h7-10,12H,4-6H2,1-3H3	null	CC1CCC(OC1C)C(CC(=O)OC)O	1.10000002	58590253	PubChem:(58590253)	2
767	1	N/A	-189.5008406275258	C11H20O4	[M - H]-	HTCUURQJNZBKIA	InChI=1S/C11H20O4/c1-3-8(12)6-9-4-5-10(15-9)7(2)11(13)14/h7-10,12H,3-6H2,1-2H3,(H,13,14)	null	CCC(CC1CCC(O1)C(C)C(=O)O)O	1.39999998	12310478;10889304;11053074;10398410;67631972;92466127;101993764;101993765;101993766;101993767;125032929;124410433;139584113;139584250;139586892	COCONUT:(CNP0141293 CNP0151288);Natural Products:(UNPD48571);PubChem:(12310478 10889304 11053074 10398410 67631972 92466127 101993764 101993765 101993766 101993767 125032929 124410433 139584113 139584250 139586892);SuperNatural:(SN00028805 SN00375304);ZINC bio:(ZINC14440845 ZINC31158474);additional;PubChem class - safety and toxic;Training Set	70836226
