rank	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	0.11593231604935582	-119.41713047143715	C9H12O7	[M - H]-	JQEDHEZYTNKMKH	InChI=1S/C9H12O7/c1-5(7(12)13)2-3-9(16,8(14)15)4-6(10)11/h2-3,5,16H,4H2,1H3,(H,10,11)(H,12,13)(H,14,15)	null	CC(C=CC(CC(=O)O)(C(=O)O)O)C(=O)O	-0.915229023	""	KEGG Mine	8589934592
2	1	N/A	-123.94377935596366	C9H12O7	[M - H]-	LXSXTRNQMRICQQ	InChI=1S/C9H12O7/c1-4-2-8(4,6(12)13)9(16,7(14)15)3-5(10)11/h4,16H,2-3H2,1H3,(H,10,11)(H,12,13)(H,14,15)	null	CC1CC1(C(=O)O)C(CC(=O)O)(C(=O)O)O	-1.20000005	67958719	PubChem:(67958719)	2
3	1	N/A	-129.5247756912275	C9H12O7	[M - H]-	KXBJOVMQKUZJDE	InChI=1S/C9H12O7/c10-5(11)4-9(16,7(14)15)8(6(12)13)2-1-3-8/h16H,1-4H2,(H,10,11)(H,12,13)(H,14,15)	null	C1CC(C1)(C(=O)O)C(CC(=O)O)(C(=O)O)O	-1.10000002	123724000	PubChem:(123724000)	2
4	1	N/A	-130.97842165873192	C9H12O7	[M - H]-	ASWUQDORWRAVAN	InChI=1S/C9H12O7/c10-7(11)2-4-16-3-1-6(9(14)15)5-8(12)13/h5H,1-4H2,(H,10,11)(H,12,13)(H,14,15)	null	C(COCCC(=O)O)C(=CC(=O)O)C(=O)O	-0.511350214	""	KEGG Mine	8589934592
5	1	N/A	-132.56132836085115	C9H12O7	[M - H]-	WLCTWTPUSWBFQR	InChI=1S/C9H12O7/c10-6(11)3-1-2-4-9(16,8(14)15)5-7(12)13/h1,3,16H,2,4-5H2,(H,10,11)(H,12,13)(H,14,15)	null	C(CC(CC(=O)O)(C(=O)O)O)C=CC(=O)O	-0.557861149	""	KEGG Mine	8589934592
6	1	N/A	-136.2430839629093	C9H12O7	[M - H]-	ZERQCBHLGLOICY	InChI=1S/C9H12O7/c10-6(11)3-1-2-4-9(16,8(14)15)5-7(12)13/h2,4,16H,1,3,5H2,(H,10,11)(H,12,13)(H,14,15)	null	C(CC(=O)O)C=CC(CC(=O)O)(C(=O)O)O	-0.839444876	""	KEGG Mine	8589934592
7	1	N/A	-137.94901734602416	C9H12O7	[M - H]-	APRATJGVGVWDOK	InChI=1S/C9H12O7/c10-5(2-4-7(12)13)1-3-6(11)8(14)9(15)16/h1,3,6,8,11,14H,2,4H2,(H,12,13)(H,15,16)	null	C(CC(=O)O)C(=O)C=CC(C(C(=O)O)O)O	-1.25379479	""	EcoCyc Mine;KEGG Mine	25769803776
8	1	N/A	-144.76836110551022	C9H12O7	[M - H]-	PMICGKSUXCQMTF	InChI=1S/C9H12O7/c10-6(11)4-2-1-3-5(8(13)14)7(12)9(15)16/h3,7,12H,1-2,4H2,(H,10,11)(H,13,14)(H,15,16)	null	C(CC=C(C(C(=O)O)O)C(=O)O)CC(=O)O	-0.450383842	""	KEGG Mine	8589934592
9	1	N/A	-148.6755793941214	C9H12O7	[M - H]-	IDXOTNCOXNVZIM	InChI=1S/C9H12O7/c10-5(7(12)4-8(13)14)2-1-3-6(11)9(15)16/h1-3,5,7,10-12H,4H2,(H,13,14)(H,15,16)	null	C(C(C(C=CC=C(C(=O)O)O)O)O)C(=O)O	-1.12019241	""	EcoCyc Mine;KEGG Mine	25769803776
10	1	N/A	-149.7395621539805	C9H12O7	[M - H]-	JUNDGBULUULWNE	InChI=1S/C9H12O7/c1-3-5(8(12)13)6(9(14)15)4(2-16-3)7(10)11/h3-6H,2H2,1H3,(H,10,11)(H,12,13)(H,14,15)	null	CC1C(C(C(CO1)C(=O)O)C(=O)O)C(=O)O	-1.10000002	89746655	PubChem:(89746655)	2
