rank	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	0.14583918100856136	-36.30675769626471	C7H12O6	[M - H]-	AAWZDTNXLSGCEK	InChI=1S/C7H12O6/c8-3-1-7(13,6(11)12)2-4(9)5(3)10/h3-5,8-10,13H,1-2H2,(H,11,12)	L-Quinate	C1C(C(C(CC1(C(=O)O)O)O)O)O	-2.4000001	1064;6508;37439;1560034;1268037;6560875;6971023;17751038;57817184;59400405	HMDB:(3072);SuperNatural:(SN00301797 SN00001739 SN00002573 SN00368035 SN00302919 SN00017899);ZINC bio:(ZINC00895164 ZINC01764753 ZINC12343390);additional;MeSH:(6508);Plantcyc:(QUINATE);PubMed;NORMAN:(NS00006789);COCONUT:(CNP0163128 CNP0205647);KNApSAcK:(1201);Natural Products:(UNPD77472 UNPD157674 UNPD68951 UNPD93570);PubChem:(1064 6508 37439 1560034 1268037 6560875 6971023 17751038 57817184 59400405);YMDB Mine;CHEBI:(36124 29751 17521);PubChem class - bio and metabolites;KEGG:(C00296);PubChem class - safety and toxic;Training Set;Biocyc:(QUINATE)	34447747454
2	1	N/A	-43.812072463586695	C7H12O6	[M - H]-	OQVOQYAAXTYVGI	InChI=1S/C7H12O6/c8-4(6(11)7(12)13)2-1-3-5(9)10/h4,6,8,11H,1-3H2,(H,9,10)(H,12,13)	null	C(CC(C(C(=O)O)O)O)CC(=O)O	-0.779384732	""	KEGG Mine	8589934592
3	1	N/A	-53.00296387722375	C7H12O6	[M - H]-	LEGKFFOJNIWCEE	InChI=1S/C7H12O6/c1-2-3(8)4(9)5(10)6(11)7(12)13/h3-5,8-10H,2H2,1H3,(H,12,13)	null	CCC(C(C(C(=O)C(=O)O)O)O)O	-1.29999995	91206158	PubChem:(91206158)	2
4	1	N/A	-65.41477504379336	C7H12O6	[M - H]-	MKHNXAMZGSJUAK	InChI=1S/C7H12O6/c8-4(6(10)11)2-1-3-5(9)7(12)13/h4-5,8-9H,1-3H2,(H,10,11)(H,12,13)	Heptanedioic acid, 2,6-dihydroxy-	C(CC(C(=O)O)O)CC(C(=O)O)O	-0.800000012	20515422	PubChem:(20515422)	2
5	1	N/A	-65.97511733006169	C7H12O6	[M - H]-	UYALSVMNGFGUFS	InChI=1S/C7H12O6/c1-3(8)6(12)7(13)4(9)2-5(10)11/h4,6-7,9,12-13H,2H2,1H3,(H,10,11)	null	CC(=O)C(C(C(CC(=O)O)O)O)O	-1.82146311	""	KEGG Mine	8589934592
6	1	N/A	-67.06647324236076	C7H12O6	[M - H]-	YUNDSNOOZOZADG	InChI=1S/C7H12O6/c1-3(9)5(11)7(13)6(12)4(10)2-8/h2-3,5-7,9,11-13H,1H3	null	CC(C(C(C(C(=O)C=O)O)O)O)O	-2.5	131848506	PubChem:(131848506)	2
7	1	N/A	-70.29764802736477	C7H12O6	[M - H]-	KWOXOXXDSUUXFO	InChI=1S/C7H12O6/c1-3(9)5(11)7(13)6(12)4(10)2-8/h2,4-7,10-13H,1H3	null	CC(=O)C(C(C(C(C=O)O)O)O)O	-3.0	129266564	PubChem:(129266564)	2
8	1	N/A	-74.63345175500575	C7H12O6	[M - H]-	AIWQPISYMLVBSY	InChI=1S/C7H12O6/c1-3(8)6(11)4(9)2-5(10)7(12)13/h3-4,6,8-9,11H,2H2,1H3,(H,12,13)	null	CC(C(C(CC(=O)C(=O)O)O)O)O	-1.38410902	""	EcoCyc Mine;KEGG Mine	25769803776
9	1	N/A	-78.24534579055504	C7H12O6	[M - H]-	WDPXRLXXUXSYTG	InChI=1S/C7H12O6/c8-1-3(9)5(11)7-6(12)4(10)2-13-7/h1,3-7,9-12H,2H2	null	C1C(C(C(O1)C(C(C=O)O)O)O)O	-2.36357546	""	YMDB Mine	34359738368
10	1	N/A	-78.39628704762596	C7H12O6	[M - H]-	FFUQVDPVHYUCLN	InChI=1S/C7H12O6/c1-3(8)2-4(6(10)11)5(9)7(12)13/h3-5,8-9H,2H2,1H3,(H,10,11)(H,12,13)	null	CC(CC(C(C(=O)O)O)C(=O)O)O	-0.855168879	""	KEGG Mine	8589934592
11	1	N/A	-78.89286220729721	C7H12O6	[M - H]-	YYPABUKAWQJAHV	InChI=1S/C7H12O6/c8-3-1-2-7(13,6(11)12)5(10)4(3)9/h3-5,8-10,13H,1-2H2,(H,11,12)	1,2,3,4-tetrahydroxycyclohexane-1-carboxylic acid	C1CC(C(C(C1O)O)O)(C(=O)O)O	-1.79999995	60075359	PubChem:(60075359)	2
